#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1          0.833275          0.833275                 0
                 2          0.972542          0.902909         0.0492384
                 3          0.801087          0.868968         0.0429592
                 4           0.94954          0.889111         0.0366387
                 5           1.05294          0.921878         0.0414494
                 6          0.886444          0.915972         0.0349593
                 7          0.953675          0.921358         0.0303772
                 8          0.977123          0.928329         0.0273682
                 9          0.897043          0.924853          0.024547
                10           1.06807          0.939175         0.0259361
                11            0.8412          0.930268          0.025061
                12          0.862595          0.924628         0.0235985
                13          0.983384          0.929148         0.0222119
                14          0.763814          0.917339         0.0235565
                15          0.930224          0.918198         0.0220017
                16           1.07614          0.928069         0.0227336
                17          0.818377          0.921617         0.0222932
                18          0.733611          0.911172         0.0233738
                19          0.881583          0.909615         0.0221954
                20          0.800944          0.904181         0.0217405
                21          0.996441          0.908575         0.0211445
                22          0.903114          0.908326         0.0201848
                23          0.806433          0.903896         0.0197874
                24          0.843525          0.901381         0.0191222
                25          0.794879          0.897121         0.0188258
                26          0.889181          0.896815         0.0181042
                27           0.99458          0.900436         0.0177921
                28          0.750071          0.895066         0.0179489
                29          0.812881          0.892232         0.0175522
                30          0.789497          0.888808          0.017298
                31          0.970603          0.891446           0.01694
                32          0.888105          0.891342          0.016411
                33          0.811777          0.888931         0.0160898
                34          0.979111          0.891583         0.0158337
                35           1.08259           0.89704         0.0162947
                36          0.944832          0.898368          0.015896
                37          0.910583          0.898698         0.0154698
                38          0.981407          0.900875         0.0152151
                39          0.937479          0.901813         0.0148539
                40          0.951499          0.903055         0.0145344
                41          0.985259           0.90506         0.0143175
                42           1.21933          0.912543         0.0158114
                43          0.864152          0.911417         0.0154837
                44          0.699603          0.906603         0.0158625
                45          0.964978          0.907901         0.0155629
                46            0.9818          0.909507         0.0153073
                47          0.834439           0.90791         0.0150647
                48          0.949157          0.908769         0.0147754
                49          0.877986          0.908141         0.0144872
                50          0.820783          0.906394         0.0143024
                51          0.882817          0.905932         0.0140294
                52           1.01025          0.907938         0.0139023
                53          0.974423          0.909192         0.0136965
                54          0.889397          0.908826         0.0134478
                55          0.873739          0.908188         0.0132184
                56          0.836685          0.906911         0.0130439
                57          0.864642          0.906169         0.0128361
                58           0.83542          0.904949         0.0126726
                59          0.694193          0.901377         0.0129515
                60           1.05374          0.903917         0.0129822
                61          0.978635          0.905142          0.012827
                62          0.948723          0.905845         0.0126394
                63          0.936086          0.906325         0.0124479
                64          0.949095          0.906993         0.0122713
                65          0.885549          0.906663         0.0120869
                66           1.16818          0.910625         0.0125364
                67          0.988272          0.911784         0.0124028
                68           1.00343          0.913132         0.0122934
                69          0.782595           0.91124         0.0122599
                70          0.955764          0.911876         0.0121013
                71          0.871703           0.91131          0.011944
                72          0.921583          0.911453          0.011779
                73          0.804936          0.909994         0.0117077
                74          0.991578          0.911096         0.0116013
                75          0.933136           0.91139         0.0114503
                76          0.841707          0.910473         0.0113363
                77          0.859925          0.909817         0.0112081
                78            1.0695          0.911864         0.0112498
                79          0.804317          0.910503         0.0111894
                80          0.893128          0.910285         0.0110517
                81           1.09406          0.912554         0.0111457
                82           1.07861          0.914579         0.0111922
                83          0.816496          0.913398         0.0111196
                84          0.989805          0.914307         0.0110244
                85          0.807471           0.91305         0.0109661
                86          0.914091          0.913062         0.0108386
                87           1.12335           0.91548         0.0109802
                88          0.878845          0.915063         0.0108633
                89          0.870154          0.914559          0.010753
                90          0.960895          0.915073         0.0106458
                91          0.832676          0.914168         0.0105673
                92           1.08975          0.916077         0.0106233
                93          0.792317          0.914746         0.0105921
                94          0.817381           0.91371           0.01053
                95           1.00554          0.914677         0.0104634
                96          0.934702          0.914885         0.0103565
                97          0.878538           0.91451         0.0102565
                98          0.782293          0.913161         0.0102402
                99          0.856454          0.912588         0.0101528
               100          0.915957          0.912622         0.0100513
