#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1          0.999953          0.999953                 0
                 2          0.973195          0.986574        0.00946038
                 3          0.997169          0.990106         0.0069349
                 4          0.974584          0.986225        0.00619237
                 5          0.970636          0.983107        0.00568489
                 6          0.993663          0.984867        0.00500222
                 7          0.975518          0.983531        0.00446233
                 8          0.981963          0.983335        0.00390884
                 9          0.991115            0.9842        0.00356882
                10          0.967164          0.982496        0.00359561
                11          0.992306          0.983388        0.00337754
                12          0.984922          0.983516         0.0030985
                13          0.963971          0.982012        0.00320421
                14          0.989171          0.982524        0.00301587
                15          0.973645          0.981932        0.00287231
                16          0.971567          0.981284        0.00276487
                17           1.00259          0.982537        0.00287238
                18          0.993964          0.983172        0.00278207
                19          0.996684          0.983883        0.00272502
                20          0.995557          0.984467        0.00265054
                21          0.979403          0.984226        0.00253527
                22           0.97505          0.983809         0.0024541
                23          0.989573          0.984059        0.00236016
                24          0.999691          0.984711        0.00234997
                25          0.993348          0.985056        0.00228123
                26          0.987965          0.985168        0.00219623
                27          0.970974          0.984642         0.0021769
                28          0.996665          0.985072        0.00214108
                29          0.988732          0.985198        0.00207097
                30          0.988851           0.98532        0.00200551
                31          0.983205          0.985252        0.00194198
                32          0.991757          0.985455         0.0018919
                33          0.997426          0.985818        0.00186903
                34          0.969734          0.985345        0.00187296
                35          0.960477          0.984634        0.00194956
                36          0.995327          0.984931        0.00191789
                37          0.977833          0.984739        0.00187563
                38           0.97004          0.984352        0.00186574
                39          0.990632          0.984513        0.00182483
                40          0.967489          0.984088        0.00182817
                41          0.967803          0.983691        0.00182622
                42          0.956461          0.983042        0.00189432
                43          0.976506           0.98289        0.00185636
                44          0.996843          0.983207        0.00184105
                45          0.973654          0.982995        0.00181234
                46          0.966543          0.982637        0.00180789
                47          0.998385          0.982972         0.0018002
                48          0.981952          0.982951        0.00176283
                49          0.982204          0.982936        0.00172692
                50          0.995669          0.983191        0.00171105
                51          0.983909          0.983205        0.00167756
                52          0.975899          0.983064        0.00165117
                53          0.968863          0.982796        0.00164161
                54          0.972268          0.982601        0.00162275
                55          0.982769          0.982604        0.00159325
                56          0.999634          0.982908        0.00159355
                57          0.981311           0.98288        0.00156584
                58          0.987514           0.98296        0.00154088
                59          0.999149          0.983235          0.001539
                60          0.956115          0.982783        0.00157833
                61          0.966458          0.982515        0.00157498
                62          0.990134          0.982638        0.00155436
                63          0.995237          0.982838         0.0015425
                64          0.978072          0.982763         0.0015202
                65           0.98674          0.982825        0.00149804
                66          0.958075           0.98245        0.00152155
                67          0.979606          0.982407        0.00149943
                68          0.982064          0.982402        0.00147739
                69            0.9959          0.982598        0.00146888
                70          0.962688          0.982313        0.00147517
                71          0.980409          0.982287        0.00145464
                72           0.98085          0.982267        0.00143457
                73          0.993533          0.982421         0.0014232
                74          0.981244          0.982405        0.00140405
                75          0.984651          0.982435        0.00138565
                76           1.00052          0.982673         0.0013877
                77          0.996659          0.982855        0.00138151
                78          0.970318          0.982694        0.00137312
                79           1.00125          0.982929        0.00137567
                80          0.989301          0.983008        0.00136078
                81          0.964794          0.982783        0.00136243
                82          0.966304          0.982582        0.00136056
                83          0.989081          0.982661        0.00134642
                84           0.97833          0.982609        0.00133137
                85          0.987713          0.982669        0.00131706
                86          0.981934          0.982661        0.00130178
                87          0.962765          0.982432        0.00130675
                88          0.988436            0.9825        0.00129368
                89          0.991453          0.982601        0.00128305
                90          0.980823          0.982581        0.00126894
                91          0.990953          0.982673        0.00125833
                92          0.956804          0.982392        0.00127568
                93          0.984972           0.98242        0.00126227
                94          0.991225          0.982513        0.00125231
                95          0.972969          0.982413        0.00124315
                96          0.986709          0.982458        0.00123101
                97          0.987802          0.982513        0.00121955
                98           0.99496           0.98264         0.0012137
                99          0.994015          0.982755        0.00120687
               100          0.971332           0.98264        0.00120019
