# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737                 0                 0                 0
          0.923387              1.76              1.76                 0
          0.949037              8.72              8.72                 0
          0.974686              31.6              31.6                 0
           1.00034             59.86             59.86                 0
           1.02599             69.68             69.68                 0
           1.05164             81.98             81.98                 0
           1.07728             80.64             80.64                 0
           1.10293             71.16             71.16                 0
           1.12858             77.12             77.12                 0
           1.15423             66.44             66.44                 0
           1.17988             80.94             80.94                 0
           1.20553             74.76             74.76                 0
           1.23118             64.86             64.86                 0
           1.25683              58.1              58.1                 0
           1.28248              52.2              52.2                 0
           1.30813             51.58             51.58                 0
           1.33378             48.32             48.32                 0
           1.35943                53                53                 0
           1.38508             48.78             48.78                 0
           1.41073             53.24             53.24                 0
           1.43638             44.62             44.62                 0
           1.46203             44.76             44.76                 0
           1.48768             43.48             43.48                 0
           1.51333              44.6              44.6                 0
           1.53898             43.12             43.12                 0
           1.56463             38.54             38.54                 0
           1.59028              35.2              35.2                 0
           1.61593             44.06             44.06                 0
           1.64158             52.52             52.52                 0
           1.66723             61.08             61.08                 0
           1.69288             66.56             66.56                 0
           1.71853             74.58             74.58                 0
           1.74418             68.28             68.28                 0
           1.76983             71.86             71.86                 0
           1.79547             71.54             71.54                 0
           1.82112             83.84             83.84                 0
           1.84677             81.26             81.26                 0
           1.87242              86.1              86.1                 0
           1.89807             90.48             90.48                 0
           1.92372             99.56             99.56                 0
           1.94937            111.26            111.26                 0
           1.97502             135.2             135.2                 0
           2.00067             141.4             141.4                 0
           2.02632            143.98            143.98                 0
           2.05197            163.84            163.84                 0
           2.07762            161.12            161.12                 0
           2.10327            160.68            160.68                 0
           2.12892            162.92            162.92                 0
           2.15457            153.08            153.08                 0
           2.18022            174.38            174.38                 0
           2.20587            158.72            158.72                 0
           2.23152            156.96            156.96                 0
           2.25717            160.08            160.08                 0
           2.28282            159.86            159.86                 0
           2.30847            155.02            155.02                 0
           2.33412            144.26            144.26                 0
           2.35977             155.4             155.4                 0
           2.38542            155.34            155.34                 0
           2.41107            154.14            154.14                 0
           2.43672            149.84            149.84                 0
           2.46237            138.52            138.52                 0
           2.48802            154.12            154.12                 0
           2.51366            160.02            160.02                 0
           2.53931            159.28            159.28                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737              0.22              0.11         0.0777817
          0.923387               0.6              1.18          0.410122
          0.949037               7.2              7.96          0.537401
          0.974686             28.38             29.99           1.13844
           1.00034             50.32             55.09            3.3729
           1.02599             70.16             69.92          0.169706
           1.05164             86.92             84.45           1.74655
           1.07728             86.22             83.43           1.97283
           1.10293             83.38             77.27           4.32042
           1.12858             79.14             78.13          0.714178
           1.15423             76.22             71.33           3.45775
           1.17988             71.34             76.14           3.39411
           1.20553             65.02             69.89           3.44361
           1.23118              63.6             64.23          0.445477
           1.25683             57.48             57.79          0.219203
           1.28248              53.1             52.65          0.318198
           1.30813             54.44             53.01           1.01116
           1.33378             48.64             48.48          0.113137
           1.35943              55.3             54.15          0.813173
           1.38508             58.12             53.45           3.30219
           1.41073             42.56              47.9           3.77595
           1.43638              39.4             42.01           1.84555
           1.46203             44.54             44.65         0.0777817
           1.48768              38.7             41.09           1.68999
           1.51333             46.08             45.34          0.523259
           1.53898             45.56             44.34           0.86267
           1.56463             45.86              42.2           2.58801
           1.59028             47.32             41.26           4.28507
           1.61593             43.38             43.72          0.240416
           1.64158             47.66             50.09           1.71827
           1.66723             51.02             56.05           3.55675
           1.69288             56.46             61.51           3.57089
           1.71853             60.92             67.75           4.82954
           1.74418             69.24             68.76          0.339411
           1.76983             68.78             70.32           1.08894
           1.79547             73.74             72.64          0.777817
           1.82112             90.72             87.28           2.43245
           1.84677             85.44             83.35           1.47785
           1.87242             101.4             93.75           5.40937
           1.89807            103.62             97.05           4.64569
           1.92372            105.96            102.76           2.26274
           1.94937            109.28            110.27          0.700036
           1.97502            131.04            133.12           1.47078
           2.00067            141.78            141.59           0.13435
           2.02632             141.8            142.89          0.770746
           2.05197            154.58            159.21            3.2739
           2.07762            155.76            158.44           1.89505
           2.10327            160.14            160.41          0.190919
           2.12892            148.04            155.48           5.26087
           2.15457            146.14            149.61           2.45366
           2.18022            162.26            168.32           4.28507
           2.20587            166.82            162.77           2.86378
           2.23152            175.48            166.22           6.54781
           2.25717            178.72             169.4           6.59024
           2.28282            160.28            160.07          0.148492
           2.30847             160.7            157.86           2.00818
           2.33412            152.74             148.5           2.99813
           2.35977            139.46            147.43           5.63564
           2.38542            145.46             150.4           3.49311
           2.41107            143.68            148.91           3.69817
           2.43672            139.04            144.44           3.81838
           2.46237            146.56            142.54           2.84257
           2.48802             153.7            153.91          0.148492
           2.51366            162.48            161.25          0.869741
           2.53931            167.06            163.17           2.75065
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737              0.14              0.12         0.0524934
          0.923387              1.74           1.36667          0.313026
          0.949037              9.66           8.52667          0.585175
          0.974686             33.42           31.1333           1.20312
           1.00034             53.86             54.68           2.27338
           1.02599             72.44             70.76          0.695126
           1.05164             71.64             80.18           3.67573
           1.07728              76.8             81.22           2.23291
           1.10293             85.12           79.8867           3.58618
           1.12858             70.12             75.46           2.23143
           1.15423             80.26           74.3067           3.34975
           1.17988              67.7           73.3267           3.22437
           1.20553             69.02              69.6           2.30792
           1.23118             71.64              66.7            2.0385
           1.25683             65.28           60.2867           2.04375
           1.28248             62.66           55.9867           2.73262
           1.30813             43.52           49.8467           2.66937
           1.33378             48.02           48.3267          0.146161
