#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           1.49663           1.49663                 0
                 2           1.58998            1.5433         0.0330026
                 3           1.49537           1.52732         0.0255791
                 4           1.44689           1.50722         0.0259101
                 5            1.4442           1.49461         0.0235954
                 6           1.45993           1.48883         0.0203584
                 7           1.40853           1.47736          0.020428
                 8            1.4926           1.47927         0.0179631
                 9           1.60166           1.49286          0.020478
                10           1.56351           1.49993          0.019611
                11           1.50205           1.50012         0.0178292
                12           1.44121           1.49521         0.0170059
                13           1.48643           1.49454         0.0157112
                14            1.3905           1.48711         0.0162517
                15           1.41966           1.48261         0.0157779
                16           1.49504           1.48339         0.0148109
                17           1.42491           1.47995         0.0143335
                18           1.45461           1.47854         0.0136061
                19           1.52109           1.48078          0.013073
                20           1.46242           1.47986         0.0124515
                21            1.4373           1.47783         0.0120224
                22           1.49404           1.47857         0.0114985
                23           1.46851           1.47813         0.0110068
                24           1.50247           1.47915         0.0105948
                25           1.52577           1.48101         0.0103339
                26           1.48029           1.48098        0.00993645
                27           1.45161            1.4799        0.00962781
                28           1.54639           1.48227        0.00957235
                29           1.53521            1.4841        0.00941473
                30           1.51595           1.48516        0.00916059
                31           1.45287           1.48412        0.00892409
                32           1.49912           1.48459        0.00865751
                33           1.37875           1.48138         0.0089696
                34           1.42104            1.4796        0.00887961
                35            1.5083           1.48042        0.00866369
                36           1.45551           1.47973        0.00845061
                37           1.50513           1.48042        0.00825004
                38           1.45551           1.47976        0.00805894
                39           1.51339           1.48062        0.00789829
                40           1.42915           1.47934        0.00780498
                41           1.46062           1.47888        0.00762795
                42           1.46031           1.47844        0.00745913
                43           1.43501           1.47743        0.00735373
                44           1.42953           1.47634        0.00726675
                45           1.49534           1.47676        0.00711751
                46           1.50877           1.47746        0.00699671
                47           1.38977           1.47559        0.00709225
                48           1.52141           1.47655        0.00700843
                49           1.42847           1.47557        0.00693374
                50           1.43031           1.47466        0.00685388
                51           1.52386           1.47563        0.00678704
                52           1.55577           1.47717        0.00682927
                53           1.50637           1.47772        0.00672261
                54           1.45924           1.47738        0.00660681
                55           1.45198           1.47691        0.00650281
                56           1.46166           1.47664        0.00639239
                57           1.40645           1.47541        0.00639774
                58           1.51402           1.47608        0.00632198
                59           1.51558           1.47675        0.00625018
                60           1.51001            1.4773        0.00617055
                61           1.39295           1.47592        0.00622239
                62           1.39946           1.47468        0.00624304
                63           1.47298           1.47466          0.006144
                64           1.42966           1.47395        0.00608809
                65           1.43088           1.47329        0.00603038
                66           1.50734           1.47381        0.00596104
                67           1.42043           1.47301        0.00592506
                68           1.51671           1.47365        0.00587268
                69           1.49532           1.47397        0.00579595
                70           1.56704            1.4753        0.00586366
                71           1.56781            1.4766         0.0059241
                72           1.44468           1.47616        0.00585838
                73           1.41539           1.47532        0.00583697
                74           1.52701           1.47602        0.00579973
                75           1.42917            1.4754        0.00575595
                76           1.50081           1.47573        0.00568992
                77           1.52995           1.47644        0.00565943
                78            1.4285           1.47582        0.00562014
                79           1.42098           1.47513        0.00559172
                80           1.46515             1.475        0.00552321
                81           1.46851           1.47492        0.00545561
                82           1.48822           1.47508        0.00539149
                83           1.50628           1.47546        0.00533961
                84           1.50189           1.47578        0.00528531
                85           1.57367           1.47693        0.00534715
                86           1.58322           1.47816        0.00542594
                87            1.3901           1.47715        0.00545717
                88           1.44061           1.47674        0.00541093
                89           1.44107           1.47633        0.00536495
                90           1.47314            1.4763        0.00530545
                91           1.49947           1.47655        0.00525326
                92           1.44014           1.47616        0.00521104
                93           1.39335           1.47527        0.00523054
                94           1.44502           1.47495        0.00518478
                95           1.48939            1.4751        0.00513243
                96           1.42463           1.47457        0.00510582
                97           1.49407           1.47477        0.00505714
                98            1.3903           1.47391        0.00507847
                99           1.43177           1.47349        0.00504498
               100           1.49933           1.47374        0.00500115
