#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -5.57449          -5.57449                 0
                 2          -5.66777          -5.62113         0.0329796
                 3          -5.57447          -5.60558         0.0253911
                 4          -5.52582          -5.58564         0.0257062
                 5          -5.52508          -5.57353         0.0232436
                 6          -5.53414          -5.56696         0.0202756
                 7          -5.48619          -5.55542         0.0203997
                 8          -5.57393          -5.55774         0.0179804
                 9           -5.6805          -5.57138          0.020514
                10           -5.6422          -5.57846         0.0196471
                11          -5.58232          -5.57881         0.0178642
                12          -5.51948          -5.57387         0.0170459
                13          -5.56586          -5.57325         0.0157458
                14          -5.46767          -5.56571         0.0163274
                15          -5.49754          -5.56116         0.0158587
                16          -5.57095          -5.56178         0.0148794
                17          -5.49985          -5.55813         0.0144431
                18          -5.53176          -5.55667         0.0137148
                19          -5.59601          -5.55874         0.0131483
                20          -5.53634          -5.55762         0.0125385
                21          -5.51301          -5.55549           0.01212
                22           -5.5695          -5.55613         0.0115858
                23          -5.54888          -5.55582         0.0110864
                24          -5.57954           -5.5568         0.0106684
                25          -5.60105          -5.55857         0.0103875
                26          -5.55307          -5.55836        0.00999011
                27          -5.52786          -5.55723        0.00968377
                28          -5.62313          -5.55959        0.00961965
                29          -5.61116          -5.56136        0.00945093
                30          -5.59149          -5.56237         0.0091891
                31          -5.53166          -5.56138         0.0089459
                32          -5.57496           -5.5618        0.00867641
                33          -5.45241          -5.55849        0.00902453
                34          -5.49788          -5.55671        0.00893341
                35          -5.58336          -5.55747        0.00871057
                36          -5.52852          -5.55666        0.00850564
                37          -5.57975          -5.55729        0.00829861
                38          -5.53471          -5.55669        0.00810147
                39          -5.59115          -5.55758        0.00794177
                40          -5.50694          -5.55631        0.00784347
                41          -5.53677          -5.55583        0.00766664
                42          -5.53561          -5.55535        0.00749921
                43          -5.51116          -5.55432        0.00739489
                44          -5.50797          -5.55327        0.00730149
                45          -5.57213          -5.55369        0.00715126
                46          -5.58866          -5.55445        0.00703607
                47          -5.46701          -5.55259        0.00712809
                48          -5.60074          -5.55359        0.00704982
                49          -5.50376          -5.55258        0.00697892
                50           -5.5079          -5.55168        0.00689629
                51          -5.60072          -5.55264        0.00682777
                52          -5.63134          -5.55416        0.00686213
                53          -5.58341          -5.55471        0.00675482
                54          -5.53632          -5.55437        0.00663831
                55          -5.52684          -5.55387        0.00653646
                56           -5.5386           -5.5536        0.00642541
                57          -5.48173          -5.55233         0.0064352
                58          -5.58953          -5.55298        0.00635612
                59           -5.5909          -5.55362        0.00628081
                60           -5.5843          -5.55413        0.00619691
                61          -5.46531          -5.55267        0.00626404
                62          -5.47395           -5.5514        0.00629038
                63          -5.54942          -5.55137        0.00619061
                64          -5.50548          -5.55066        0.00613526
                65          -5.50866          -5.55001        0.00607479
                66          -5.57969          -5.55046        0.00599938
                67          -5.49583          -5.54964        0.00596498
                68          -5.59366          -5.55029        0.00591228
                69          -5.57013          -5.55058        0.00583357
                70          -5.64308           -5.5519          0.005898
                71          -5.64065          -5.55315        0.00594592
                72          -5.51832          -5.55267        0.00588298
                73          -5.49261          -5.55184        0.00585963
                74          -5.60641          -5.55258        0.00582665
                75          -5.50725          -5.55198        0.00578023
                76          -5.57669           -5.5523        0.00571331
                77          -5.60723          -5.55302        0.00568347
                78          -5.50441          -5.55239        0.00564466
                79          -5.49744           -5.5517         0.0056159
                80          -5.54038          -5.55156        0.00554748
                81          -5.54861          -5.55152        0.00547912
                82            -5.567          -5.55171        0.00541555
                83          -5.58574          -5.55212         0.0053658
                84          -5.57743          -5.55242        0.00531038
                85          -5.65257           -5.5536        0.00537702
                86          -5.66073          -5.55484        0.00545689
                87          -5.46812          -5.55385        0.00548446
                88          -5.51712          -5.55343        0.00543799
                89          -5.51776          -5.55303        0.00539163
                90          -5.54964          -5.55299        0.00533186
                91          -5.57532          -5.55324        0.00527891
                92          -5.51479          -5.55282        0.00523805
                93          -5.46994          -5.55193        0.00525699
                94          -5.52094           -5.5516        0.00521139
                95          -5.56515          -5.55174        0.00515849
                96          -5.50034           -5.5512        0.00513247
                97          -5.56845          -5.55138        0.00508263
                98          -5.46758          -5.55053         0.0051022
                99          -5.51144          -5.55013        0.00506592
               100           -5.5781          -5.55041        0.00502297
