#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1          0.708234          0.708234                 0
                 2          0.339954          0.524094          0.130207
                 3          0.644372          0.564187          0.092772
                 4          0.996607          0.672292          0.116646
                 5           1.09368           0.75657          0.119959
                 6           1.09038          0.812205          0.112128
                 7           1.43094          0.900596          0.126229
                 8           1.04018          0.918044           0.11165
                 9          0.410394          0.861638          0.112595
                10          0.578006          0.833275          0.104847
                11          0.859185          0.835631         0.0953417
                12           1.17284          0.863731          0.091444
                13          0.893506          0.866022         0.0844385
                14            1.2132           0.89082         0.0819678
                15           1.12214          0.906241         0.0779404
                16          0.749174          0.896425         0.0736848
                17           1.01765          0.903556         0.0696946
                18          0.951202          0.906203         0.0658729
                19          0.760346          0.898526         0.0628517
                20          0.986177          0.902909         0.0598617
                21           1.08664          0.911658          0.057647
                22          0.816975          0.907354         0.0551871
                23           1.00567          0.911629         0.0529529
                24          0.766292          0.905573         0.0510916
                25          0.733195          0.898678         0.0495111
                26          0.927172          0.899774         0.0476189
                27           1.01407          0.904007          0.046043
                28          0.524653          0.890459         0.0463491
                29          0.530325          0.878041         0.0463847
                30          0.605868          0.868968         0.0457172
                31          0.836674          0.867926         0.0442543
                32          0.677226          0.861967         0.0432708
                33           1.31201          0.875605         0.0440563
                34           1.06956          0.881309         0.0431282
                35          0.868983          0.880957         0.0418974
                36           1.09542          0.886914          0.041155
                37          0.851832          0.885966         0.0400536
                38           1.01777          0.889435         0.0391494
                39          0.653547          0.883386           0.03861
                40           1.11237          0.889111         0.0380668
                41           1.04443          0.892899         0.0373263
                42           0.92828          0.893742         0.0364471
                43           1.03628          0.897057         0.0357499
                44           1.06234          0.900813         0.0351342
                45          0.788898          0.898326         0.0344414
                46           0.86545          0.897611         0.0337001
                47           1.42644          0.908863         0.0348108
                48          0.927036          0.909242         0.0340876
                49           1.30902            0.9174         0.0343545
                50           1.14126          0.921878         0.0339579
                51          0.666119          0.916863         0.0336603
                52          0.619259           0.91114          0.033496
                53          0.777225          0.908613         0.0329591
                54           1.05362          0.911298          0.032458
                55           1.20216          0.916587         0.0322958
                56          0.980991          0.917737         0.0317395
                57           1.17079          0.922176         0.0314917
                58          0.741269          0.919057         0.0311028
                59          0.769363           0.91652         0.0306789
                60          0.883647          0.915972         0.0301725
                61           1.35739          0.923208         0.0305333
                62           1.26227          0.928677         0.0305267
                63          0.703874          0.925109         0.0302499
                64          0.902552          0.924756         0.0297793
                65            1.0112          0.926086         0.0293509
                66          0.766051          0.923662         0.0290062
                67           1.19533          0.927716         0.0288552
                68          0.773611           0.92545         0.0285197
                69          0.956424          0.925899         0.0281099
                70          0.608045          0.921358         0.0280727
                71          0.734443          0.918726         0.0278005
                72           1.23893          0.923173         0.0277678
                73           1.09256          0.925493         0.0274842
                74          0.620186          0.921367         0.0274207
                75          0.993388          0.922328         0.0270719
                76          0.747843          0.920032         0.0268129
                77          0.667861          0.916757         0.0266639
                78            1.3472          0.922275         0.0268871
                79           1.33556          0.927507         0.0270509
                80          0.993262          0.928329         0.0267253
                81           1.05903          0.929942          0.026444
                82            1.0608          0.931538         0.0261696
                83          0.881706          0.930938         0.0258612
                84           0.84032          0.929859         0.0255758
                85           0.48987          0.924683         0.0257934
                86            0.4039          0.918627         0.0261947
                87           1.34822          0.923565         0.0263549
                88           1.12339          0.925836         0.0261531
                89          0.978629          0.926429         0.0258659
                90           0.78457          0.924853         0.0256265
                91          0.721202          0.922615         0.0254424
                92           0.94232          0.922829         0.0251668
                93           1.33239          0.927233         0.0252786
                94            1.2502          0.930669         0.0252421
                95           1.01352          0.931541         0.0249914
                96           1.28802          0.935254         0.0250054
                97          0.989862          0.935817          0.024754
                98           1.32689          0.939808         0.0248209
                99           1.01484          0.940565         0.0245818
               100          0.801485          0.939175         0.0243753
