#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1          0.997754          0.997754                 0
                 2           1.05998           1.02887         0.0220017
                 3          0.996912           1.01822         0.0170527
                 4          0.964591           1.00481         0.0172734
                 5          0.962797          0.996408         0.0157303
                 6          0.973288          0.992554         0.0135723
                 7           0.93902          0.984907         0.0136187
                 8          0.995067          0.986177         0.0119754
                 9           1.06777          0.995243          0.013652
                10           1.04234          0.999953          0.013074
                11           1.00137           1.00008         0.0118861
                12          0.960805          0.996808         0.0113373
                13          0.990956          0.996358         0.0104741
                14             0.927          0.991404         0.0108344
                15          0.946441          0.988406         0.0105186
                16          0.996691          0.988924        0.00987395
                17          0.949943          0.986631        0.00955567
                18          0.969741          0.985693        0.00907075
                19           1.01406          0.987186        0.00871532
                20           0.97495          0.986574          0.008301
                21            0.9582          0.985223        0.00801492
                22          0.996026          0.985714        0.00766564
                23          0.979006          0.985422        0.00733789
                24           1.00164          0.986098        0.00706321
                25           1.01718          0.987341        0.00688925
                26          0.986862          0.987323         0.0066243
                27          0.967739          0.986598        0.00641854
                28           1.03093          0.988181        0.00638156
                29           1.02347          0.989398        0.00627649
                30           1.01063          0.990106        0.00610706
                31          0.968582          0.989411        0.00594939
                32           0.99941          0.989724        0.00577168
                33          0.919164          0.987586        0.00597973
                34           0.94736          0.986403        0.00591974
                35           1.00554          0.986949        0.00577579
                36          0.970343          0.986488        0.00563374
                37           1.00342          0.986946        0.00550003
                38          0.970337          0.986508        0.00537263
                39           1.00893          0.987083        0.00526553
                40          0.952764          0.986225        0.00520332
                41          0.973749          0.985921         0.0050853
                42          0.973542          0.985626        0.00497275
                43          0.956671          0.984953        0.00490249
                44          0.953018          0.984227         0.0048445
                45          0.996891          0.984508        0.00474501
                46           1.00585          0.984972        0.00466447
                47          0.926512          0.983729        0.00472816
                48           1.01427          0.984365        0.00467229
                49          0.952313          0.983711        0.00462249
                50          0.953542          0.983107        0.00456925
                51           1.01591           0.98375        0.00452469
                52           1.03718          0.984778        0.00455285
                53           1.00424          0.985145        0.00448174
                54           0.97283          0.984917        0.00440454
                55          0.967984          0.984609         0.0043352
                56           0.97444          0.984428        0.00426159
                57          0.937636          0.983607        0.00426516
                58           1.00935          0.984051        0.00421465
                59           1.01039          0.984497        0.00416679
                60           1.00667          0.984867         0.0041137
                61          0.928636          0.983945        0.00414826
                62          0.932971          0.983123        0.00416203
                63          0.981985          0.983105          0.004096
                64          0.953108          0.982636        0.00405873
                65          0.953923          0.982194        0.00402025
                66            1.0049          0.982538        0.00397403
                67          0.946955          0.982007        0.00395004
                68           1.01114          0.982435        0.00391512
                69          0.996877          0.982645        0.00386397
                70           1.04469          0.983531        0.00390911
                71           1.04521            0.9844         0.0039494
                72           0.96312          0.984104        0.00390559
                73          0.943593          0.983549        0.00389131
                74           1.01801          0.984015        0.00386649
                75          0.952777          0.983598         0.0038373
                76           1.00054          0.983821        0.00379328
                77           1.01997          0.984291        0.00377295
                78          0.952334          0.983881        0.00374676
                79          0.947317          0.983418        0.00372781
                80          0.976764          0.983335        0.00368214
                81          0.979005          0.983282        0.00363707
                82          0.992149           0.98339        0.00359432
                83           1.00419           0.98364        0.00355974
                84           1.00126           0.98385        0.00352354
                85           1.04912          0.984618        0.00356477
                86           1.05548          0.985442        0.00361729
                87          0.926734          0.984767        0.00363811
                88          0.960409           0.98449        0.00360728
                89          0.960713          0.984223        0.00357663
                90          0.982093            0.9842        0.00353697
                91          0.999645          0.984369        0.00350217
                92          0.960096          0.984105        0.00347403
                93          0.928897          0.983512        0.00348702
                94          0.963348          0.983297        0.00345652
                95          0.992925          0.983399        0.00342162
                96          0.949754          0.983048        0.00340388
                97          0.996048          0.983182        0.00337143
                98          0.926865          0.982607        0.00338565
                99           0.95451          0.982324        0.00336332
               100          0.999552          0.982496         0.0033341
