#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1          -4.07786          -4.07786                 0
                 2          -4.07779          -4.07783       2.30213e-05
                 3           -4.0791          -4.07825       0.000346297
                 4          -4.07893          -4.07842       0.000298936
                 5          -4.08089          -4.07891       0.000501524
                 6           -4.0742          -4.07813       0.000829789
                 7          -4.07766          -4.07806       0.000713938
                 8          -4.08133          -4.07847       0.000732075
                 9          -4.07884          -4.07851       0.000651857
                10          -4.07869          -4.07853       0.000586906
                11          -4.08028          -4.07869       0.000554642
                12          -4.07828          -4.07865       0.000509485
                13          -4.07942          -4.07871       0.000473712
                14          -4.07717           -4.0786       0.000452454
                15          -4.07788          -4.07855       0.000424849
                16          -4.07592          -4.07839       0.000429121
                17          -4.07494          -4.07819       0.000449397
                18          -4.07715          -4.07813       0.000428124
                19          -4.07492          -4.07796       0.000437627
                20          -4.07392          -4.07776       0.000460016
                21          -4.07571          -4.07766       0.000448338
                22          -4.07546          -4.07756       0.000438982
                23          -4.08037          -4.07768       0.000436614
                24          -4.07708          -4.07766       0.000419151
                25          -4.07528          -4.07756       0.000413067
                26          -4.07277          -4.07738       0.000436313
                27          -4.07625          -4.07734       0.000422147
                28          -4.07674          -4.07731       0.000407606
                29          -4.07595          -4.07727       0.000396249
                30          -4.07554          -4.07721       0.000387184
                31          -4.07879          -4.07726        0.00037804
                32          -4.07585          -4.07722         0.0003688
                33          -4.07367          -4.07711       0.000372991
                34          -4.07684           -4.0771       0.000362104
                35          -4.07505          -4.07704       0.000356461
                36          -4.07301          -4.07693       0.000363771
                37          -4.07462          -4.07687       0.000359248
                38           -4.0792          -4.07693       0.000355013
                39          -4.07776          -4.07695       0.000346553
                40          -4.07779          -4.07697       0.000338529
                41          -4.07614          -4.07695       0.000330878
                42          -4.07529          -4.07691       0.000325349
                43          -4.07615          -4.07689        0.00031826
                44          -4.07844          -4.07693       0.000312961
                45           -4.0768          -4.07693       0.000306021
                46          -4.07989          -4.07699        0.00030605
                47          -4.07724            -4.077       0.000299585
                48          -4.07933          -4.07705       0.000297267
                49          -4.07529          -4.07701       0.000293352
                50          -4.07759          -4.07702       0.000287715
                51          -4.07686          -4.07702        0.00028209
                52          -4.07557          -4.07699       0.000278046
                53          -4.07705          -4.07699       0.000272802
                54          -4.07707          -4.07699       0.000267754
                55          -4.07487          -4.07695       0.000265662
                56          -4.07694          -4.07695       0.000260918
                57          -4.07527          -4.07692       0.000257999
                58           -4.0755           -4.0769        0.00025471
                59          -4.07532          -4.07687       0.000251791
                60          -4.07429          -4.07683       0.000251239
                61          -4.07236          -4.07676       0.000257593
                62          -4.07449          -4.07672       0.000256009
                63          -4.07644          -4.07672       0.000251983
                64          -4.07582           -4.0767       0.000248432
                65          -4.07778          -4.07672       0.000245161
                66          -4.07235          -4.07665       0.000250223
                67           -4.0754          -4.07663       0.000247187
                68          -4.07695          -4.07664       0.000243595
                69          -4.07481          -4.07661       0.000241499
                70          -4.07604           -4.0766       0.000238186
                71          -4.07284          -4.07655       0.000240664
                72          -4.07364          -4.07651       0.000240688
                73          -4.07722          -4.07652       0.000237589
                74           -4.0794          -4.07656       0.000237542
                75          -4.07808          -4.07658       0.000235242
                76          -4.07588          -4.07657       0.000232327
                77          -4.07728          -4.07658       0.000229491
                78          -4.07591          -4.07657       0.000226708
                79          -4.07647          -4.07657       0.000223842
                80          -4.07523          -4.07655       0.000221665
                81           -4.0801           -4.0766       0.000223218
                82          -4.07878          -4.07662       0.000222073
                83          -4.07946          -4.07666       0.000222016
                84          -4.07554          -4.07664       0.000219772
                85          -4.07889          -4.07667       0.000218773
                86          -4.07751          -4.07668       0.000216447
                87          -4.07802           -4.0767       0.000214505
                88          -4.07651          -4.07669       0.000212078
                89          -4.07669          -4.07669       0.000209695
                90           -4.0765          -4.07669       0.000207376
                91          -4.07585          -4.07668       0.000205301
                92          -4.07464          -4.07666       0.000204261
                93          -4.07659          -4.07666       0.000202066
                94          -4.07592          -4.07665       0.000200071
                95          -4.07576          -4.07664       0.000198184
                96          -4.07571          -4.07663       0.000196359
                97          -4.07438          -4.07661         0.0001957
                98          -4.07728          -4.07662       0.000193823
                99          -4.07967          -4.07665       0.000194309
               100          -4.07877          -4.07667       0.000193521
