# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
         0.0266667             0.012             0.012                 0
              0.08             0.096             0.096                 0
          0.133333             0.276             0.276                 0
          0.186667               0.3               0.3                 0
              0.24              0.41              0.41                 0
          0.293333             0.528             0.528                 0
          0.346667             0.664             0.664                 0
               0.4              0.98              0.98                 0
          0.453333             0.978             0.978                 0
          0.506667             1.076             1.076                 0
              0.56             1.136             1.136                 0
          0.613333              1.29              1.29                 0
          0.666667             1.322             1.322                 0
              0.72             1.866             1.866                 0
          0.773333             1.864             1.864                 0
          0.826667             2.798             2.798                 0
              0.88             2.828             2.828                 0
          0.933333             2.554             2.554                 0
          0.986667             2.162             2.162                 0
              1.04             6.818             6.818                 0
           1.09333             6.694             6.694                 0
           1.14667               6.7               6.7                 0
               1.2             7.302             7.302                 0
           1.25333              5.88              5.88                 0
           1.30667             5.278             5.278                 0
              1.36             4.922             4.922                 0
           1.41333             4.292             4.292                 0
           1.46667             3.712             3.712                 0
              1.52             3.098             3.098                 0
           1.57333              2.55              2.55                 0
         0.0266667                 0             0.006        0.00424264
              0.08             0.006             0.051         0.0318198
          0.133333             0.068             0.172         0.0735391
          0.186667             0.054             0.177         0.0869741
              0.24             0.186             0.298          0.079196
          0.293333             0.408             0.468         0.0424264
          0.346667              0.45             0.557         0.0756604
               0.4             0.298             0.639          0.241123
          0.453333             0.802              0.89         0.0622254
          0.506667             0.988             1.032         0.0311127
              0.56             0.992             1.064         0.0509117
          0.613333             1.288             1.289       0.000707107
          0.666667             1.232             1.277         0.0318198
              0.72             1.706             1.786         0.0565685
          0.773333             1.506             1.685          0.126572
          0.826667             2.662              2.73         0.0480833
              0.88             2.474             2.651          0.125158
          0.933333             2.546              2.55        0.00282843
          0.986667             2.818              2.49          0.231931
              1.04             2.254             4.536           1.61362
           1.09333             2.454             4.574           1.49907
           1.14667              3.69             5.195            1.0642
               1.2             3.614             5.458            1.3039
           1.25333             3.928             4.904          0.690136
           1.30667             4.008             4.643          0.449013
              1.36              3.88             4.401          0.368403
           1.41333               3.3             3.796          0.350725
           1.46667             3.264             3.488          0.158392
              1.52             3.368             3.233         0.0954594
           1.57333              3.23              2.89          0.240416
         0.0266667                 0             0.004        0.00326599
              0.08              0.02         0.0406667         0.0228295
          0.133333             0.122          0.155333         0.0508797
          0.186667             0.082          0.145333         0.0634864
              0.24             0.086          0.227333         0.0782096
          0.293333             0.196          0.377333         0.0792483
          0.346667             0.446              0.52         0.0587953
               0.4             0.732              0.67          0.162729
          0.453333             0.772          0.850667         0.0524623
          0.506667              1.21           1.09133          0.052699
              0.56             1.104           1.07733         0.0356443
          0.613333             1.238             1.272         0.0138884
          0.666667             1.678           1.41067          0.111181
              0.72             1.568           1.71333          0.070303
          0.773333             1.556             1.642         0.0913941
          0.826667             2.282           2.58067          0.126073
              0.88             2.206           2.50267          0.147073
          0.933333             2.878           2.65933         0.0892902
          0.986667             2.776           2.58533          0.173108
              1.04             3.228               4.1           1.13312
           1.09333             3.402           4.18333           1.04905
           1.14667             3.264           4.55133          0.882918
               1.2              3.53           4.81533           1.01537
           1.25333             3.346           4.38467           0.62569
           1.30667             3.248             4.178          0.483483
              1.36             3.262           4.02133          0.395497
           1.41333              2.91           3.50067          0.335884
           1.46667              3.21           3.39533          0.129904
              1.52             3.356             3.274         0.0719073
           1.57333             3.146           2.97533          0.174767
         0.0266667             0.006            0.0045        0.00248747
              0.08              0.04            0.0405         0.0171227
          0.133333             0.054              0.13          0.044017
          0.186667             0.082            0.1295         0.0495498
              0.24             0.216            0.2245         0.0587085
          0.293333             0.394            0.3815         0.0595457
          0.346667             0.478            0.5095         0.0450243
               0.4             0.936            0.7365          0.134953
          0.453333             1.142            0.9235         0.0743417
          0.506667             1.628            1.2255           0.12273
              0.56             1.498            1.1825         0.0949194
