#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -1.82645          -1.82645                 0
                 2          -2.39231          -2.10938          0.200063
                 3           -2.4268          -2.21518           0.15891
                 4          -2.17865          -2.20605          0.119445
                 5          -2.14445          -2.19373         0.0961888
                 6          -2.18484          -2.19225         0.0801688
                 7          -2.05413          -2.17252         0.0711028
                 8          -2.01741          -2.15313         0.0648046
                 9          -2.12956          -2.15051          0.057657
                10          -2.16675          -2.15213         0.0519142
                11          -2.09058          -2.14654         0.0474953
                12          -1.99829          -2.13418         0.0451156
                13          -2.01992          -2.12539         0.0424927
                14          -2.03223          -2.11874         0.0399752
                15          -2.06835          -2.11538          0.037451
                16          -2.18514          -2.11974         0.0353632
                17          -2.12807          -2.12023         0.0332864
                18          -2.03982          -2.11576         0.0317355
                19          -2.09945          -2.11491         0.0300768
                20          -2.12861          -2.11559         0.0285808
                21          -2.10246          -2.11497         0.0272266
                22          -2.11181          -2.11482         0.0259894
                23          -2.02661          -2.11099         0.0251408
                24          -1.98744          -2.10584         0.0246147
                25          -2.09691          -2.10548         0.0236327
                26          -2.08916          -2.10485         0.0227321
                27          -1.96568           -2.0997          0.022467
                28          -2.02382          -2.09699         0.0218274
                29          -1.99702          -2.09354         0.0213452
                30          -2.00834           -2.0907         0.0208218
                31          -2.00933          -2.08808         0.0203149
                32          -1.83399          -2.08014         0.0211751
                33          -1.75967          -2.07043          0.022651
                34          -1.82718          -2.06327          0.023087
                35          -1.81568           -2.0562         0.0234861
                36          -1.91138          -2.05217         0.0231757
                37          -1.97977          -2.05022         0.0226318
                38          -1.94935          -2.04756         0.0221913
                39          -1.97354          -2.04567         0.0217033
                40          -1.88171          -2.04157         0.0215444
