#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1         -0.048959         -0.048959                 0
                 2         0.0531043        0.00207266         0.0360848
                 3         0.0309972         0.0117142         0.0253119
                 4        0.00279219        0.00948368         0.0190819
                 5        0.00160373        0.00790769         0.0153305
                 6        0.00663022        0.00769478         0.0127769
                 7         0.0103319        0.00807151         0.0109572
                 8       -0.00305077        0.00668122        0.00967532
                 9         0.0147197        0.00757439        0.00864141
                10         0.0103333        0.00785028        0.00778167
                11         0.0133039        0.00834606        0.00709002
                12       -0.00543467        0.00719767        0.00659154
                13         0.0100016        0.00741335        0.00608802
                14        0.00311105        0.00710605        0.00566092
                15        0.00264822        0.00680886        0.00529132
                16         0.0287513        0.00818026        0.00513525
                17        0.00902842        0.00823015        0.00483342
                18       -0.00289296         0.0076122        0.00460423
                19         0.0121309        0.00785003        0.00436804
                20         0.0191656         0.0084158        0.00418612
                21         0.0104712        0.00851368        0.00398793
                22          0.013327        0.00873247        0.00381265
                23        0.00754756        0.00868095        0.00364723
                24       -0.00253504        0.00821362        0.00352508
                25         0.0158001        0.00851708        0.00339711
                26         0.0168525        0.00883767        0.00328155
                27       0.000925243        0.00854462        0.00317307
                28         0.0158581        0.00880581        0.00307047
                29        0.00768638        0.00876721        0.00296484
                30         0.0153395        0.00898629        0.00287409
                31         0.0258836        0.00953136         0.0028326
                32       -0.00170794        0.00918014        0.00276577
                33        0.00376343        0.00901599        0.00268682
                34        0.00759135        0.00897409        0.00260813
                35       -0.00157477         0.0086727        0.00255096
                36        0.00934064        0.00869125        0.00248017
                37         0.0208966        0.00902113        0.00243498
                38        0.00984818        0.00904289          0.002371
                39         0.0165585         0.0092356        0.00231802
                40        0.00499221        0.00912951         0.0022625
