#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           2.84914           2.84914                 0
                 2           2.68079           2.76497         0.0595185
                 3           2.37447            2.6348          0.113445
                 4           2.17647           2.52022          0.130715
                 5           2.14931           2.44604          0.123845
                 6           2.05601           2.38103          0.119048
                 7           1.97886           2.32358          0.115073
                 8            1.8769           2.26774          0.113428
                 9           1.82454            2.2185          0.111001
                10           1.87187           2.18384          0.105174
                11           1.93267             2.161         0.0980602
                12           1.89152           2.13855         0.0924242
                13           1.76281           2.10964           0.08972
                14           1.75826           2.08454         0.0867511
                15            1.7754           2.06393         0.0833798
                16           1.78306           2.04638         0.0799953
                17           1.75777            2.0294           0.07707
                18           1.72185           2.01232         0.0746583
                19           1.70837           1.99632         0.0724226
                20           1.71358           1.98218         0.0701677
                21           1.77003           1.97208         0.0675497
                22           1.72174            1.9607         0.0654307
                23           1.71217           1.94989         0.0634719
                24           1.75717           1.94186         0.0613331
                25           1.74025            1.9338         0.0594076
                26           1.71329           1.92532         0.0577249
                27           1.69913           1.91694         0.0561915
                28           1.71234           1.90963         0.0546578
                29           1.74919            1.9041         0.0530523
                30           1.69864           1.89725          0.051724
                31           1.67008           1.88993         0.0505719
                32           1.64337           1.88222          0.049575
                33            1.6226           1.87435          0.048693
                34           1.63457            1.8673         0.0477689
                35           1.63237           1.86059         0.0468733
                36           1.61497           1.85377         0.0460651
                37           1.65151            1.8483         0.0451433
                38           1.68559           1.84402         0.0441579
                39           1.66844           1.83952         0.0432545
                40           1.70767           1.83622         0.0422986
