#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1           1.89943           1.89943                 0
                 2            1.7872           1.84331          0.039679
                 3           1.58298           1.75653           0.07563
                 4           1.45098           1.68014         0.0871432
                 5           1.43287           1.63069         0.0825634
                 6           1.37067           1.58735         0.0793655
                 7           1.31924           1.54905         0.0767152
                 8           1.25127           1.51183         0.0756189
                 9           1.21636             1.479         0.0740009
                10           1.24791           1.45589         0.0701162
                11           1.28845           1.44067         0.0653735
                12           1.26101            1.4257         0.0616161
                13           1.17521           1.40643         0.0598133
                14           1.17217            1.3897          0.057834
                15            1.1836           1.37596         0.0555865
                16            1.1887           1.36425         0.0533302
                17           1.17185           1.35294           0.05138
                18            1.1479           1.34154         0.0497722
                19           1.13891           1.33088         0.0482817
                20           1.14238           1.32145         0.0467785
                21           1.18002           1.31472         0.0450331
                22           1.14783           1.30713         0.0436204
                23           1.14144           1.29993         0.0423146
                24           1.17144           1.29458         0.0408887
                25           1.16017            1.2892         0.0396051
                26           1.14219           1.28355         0.0384833
                27           1.13275           1.27796          0.037461
                28           1.14156           1.27309         0.0364385
                29           1.16613            1.2694         0.0353682
                30           1.13243           1.26484         0.0344827
                31           1.11339           1.25995         0.0337146
                32           1.09558           1.25481           0.03305
                33           1.08173           1.24957          0.032462
                34           1.08971           1.24487         0.0318459
                35           1.08825           1.24039         0.0312488
                36           1.07664           1.23584         0.0307101
                37           1.10101            1.2322         0.0300955
                38           1.12373           1.22934         0.0294386
                39            1.1123           1.22634         0.0288363
                40           1.13844           1.22415          0.028199
