#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1           1.28726           1.28726                 0
                 2           1.28917           1.28822       0.000676316
                 3           1.29091           1.28912       0.000860514
                 4           1.29178           1.28978       0.000865796
                 5           1.29268           1.29036       0.000865185
                 6           1.29295           1.29079       0.000821523
                 7           1.29324           1.29114        0.00077504
                 8            1.2932            1.2914        0.00071974
                 9           1.29313           1.29159       0.000664838
                10           1.29305           1.29174       0.000614129
                11           1.29303           1.29185       0.000569336
                12           1.29345           1.29199       0.000537097
                13           1.29318           1.29208       0.000503602
                14           1.29316           1.29216       0.000473508
                15           1.29311           1.29222       0.000446194
                16           1.29329           1.29229       0.000423288
                17           1.29331           1.29235       0.000402616
                18           1.29342           1.29241       0.000384625
                19           1.29326           1.29245       0.000366992
                20           1.29318           1.29249       0.000350454
                21           1.29313           1.29252       0.000335082
                22           1.29332           1.29255       0.000321824
                23           1.29311           1.29258       0.000308744
                24           1.29337           1.29261       0.000297637
                25           1.29327           1.29264       0.000286889
                26           1.29338           1.29267       0.000277263
                27            1.2933           1.29269       0.000267983
                28           1.29319           1.29271       0.000259015
                29           1.29322           1.29273       0.000250692
                30           1.29341           1.29275       0.000243359
                31           1.29328           1.29277       0.000236113
                32           1.29334           1.29278       0.000229408
                33           1.29336            1.2928       0.000223124
                34           1.29338           1.29282       0.000217214
                35           1.29346           1.29284       0.000211774
                36           1.29338           1.29285       0.000206426
                37           1.29327           1.29286       0.000201155
                38           1.29334           1.29288        0.00019625
                39           1.29337           1.29289       0.000191621
                40           1.29339            1.2929       0.000187236
