#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           3.11759           3.11759                 0
                 2            2.8993           3.00845          0.077179
                 3           2.54826           2.85505          0.135403
                 4           2.30394           2.71727          0.156684
                 5           2.21006           2.61583          0.154739
                 6           2.24914           2.55472          0.140501
                 7           2.22722           2.50793          0.127982
                 8           2.16448             2.465          0.118967
                 9           2.10348           2.42483          0.112326
                10           2.03398           2.38575          0.107679
                11           2.05203           2.35541          0.102074
                12           2.05945           2.33075         0.0965013
                13           2.03757           2.30819         0.0916755
                14           2.03573           2.28873         0.0871686
                15           2.00602           2.26988           0.08337
                16           2.01699           2.25408         0.0796436
                17           2.07081            2.2433         0.0756848
                18           2.02739            2.2313         0.0724243
                19           1.99549           2.21889         0.0696678
                20           1.96542           2.20622         0.0673273
                21           1.96033           2.19451         0.0651314
                22           1.98669           2.18506         0.0628522
                23           1.97194            2.1758         0.0607987
                24           1.98426           2.16782         0.0587869
                25           1.97334           2.16004         0.0569478
                26           1.97761           2.15302         0.0551881
                27           1.96105           2.14591         0.0536001
                28           1.99412           2.14049         0.0519592
                29           1.96778           2.13453         0.0505077
                30           1.97028           2.12906           0.04912
                31           2.00276           2.12498         0.0477041
                32           1.99407           2.12089         0.0463884
                33           1.97149           2.11637         0.0452031
                34           1.96079           2.11179         0.0441046
                35           1.99136           2.10835         0.0429785
                36           1.95692           2.10414           0.04199
                37           1.97822           2.10074         0.0409928
                38           2.03676           2.09906         0.0399486
                39           2.00573           2.09666         0.0389959
                40           2.02866           2.09496          0.038058
