# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
          0.133333             0.028             0.028                 0
               0.4             0.456             0.456                 0
          0.666667             0.592             0.592                 0
          0.933333             1.436             1.436                 0
               1.2             2.492             2.492                 0
           1.46667              4.38              4.38                 0
           1.73333             8.506             8.506                 0
                 2            11.734            11.734                 0
           2.26667            19.618            19.618                 0
           2.53333            24.666            24.666                 0
               2.8             15.46             15.46                 0
           3.06667              9.58              9.58                 0
           3.33333             5.742             5.742                 0
               3.6              1.11              1.11                 0
           3.86667             1.112             1.112                 0
           4.13333             0.722             0.722                 0
               4.4             0.216             0.216                 0
           4.66667             0.108             0.108                 0
           4.93333             0.042             0.042                 0
               5.2                 0                 0                 0
           5.46667                 0                 0                 0
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.74             0.384           0.25173
               0.4              2.36             1.408          0.673166
          0.666667             2.302             1.447          0.604576
          0.933333             4.366             2.901           1.03591
               1.2             6.868              4.68           1.54715
           1.46667            11.188             7.784           2.40699
           1.73333            12.612            10.559           1.45169
                 2            12.436            12.085          0.248194
           2.26667             11.86            15.739           2.74287
           2.53333              9.54            17.103           5.34785
               2.8             9.032            12.246           2.27264
           3.06667             7.376             8.478          0.779232
           3.33333             7.152             6.447           0.49851
               3.6             4.708             2.909           1.27209
           3.86667              2.31             1.711          0.423557
           4.13333             1.318              1.02          0.210718
               4.4              0.91             0.563          0.245366
           4.66667              0.44             0.274           0.11738
           4.93333             0.322             0.182         0.0989949
               5.2             0.114             0.057         0.0403051
           5.46667             0.046             0.023         0.0162635
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333               0.4          0.389333          0.167876
               0.4             2.326             1.714          0.513639
          0.666667             2.636           1.84333          0.516885
          0.933333             7.262           4.35467           1.37321
               1.2             8.788           6.04933           1.52115
           1.46667            11.668           9.07867           1.92156
           1.73333            11.346           10.8213          0.991213
                 2            10.414            11.528          0.483953
           2.26667            12.494           14.6573           2.03069
           2.53333            12.494           15.5667           3.77947
               2.8            12.188           12.2267           1.51518
           3.06667              5.41           7.45533          0.983412
           3.33333             4.556           5.81667          0.612642
               3.6             3.444           3.08733          0.860466
           3.86667             1.388           1.60333          0.295739
           4.13333             0.186             0.742           0.26694
               4.4             0.982          0.702667          0.199404
           4.66667             0.018          0.188667          0.104776
           4.93333                 0          0.121333         0.0825178
               5.2                 0             0.038         0.0310269
           5.46667                 0         0.0153333         0.0125196
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.072              0.31          0.143433
               0.4              2.08            1.8055          0.393295
          0.666667              3.57             2.275          0.538549
          0.933333             7.018            5.0205           1.18034
               1.2              9.53            6.9195           1.36728
           1.46667            12.178            9.8535           1.58973
           1.73333            12.252            11.179          0.805358
                 2            15.376             12.49           0.90875
           2.26667            13.542           14.3785           1.54204
           2.53333            11.454           14.5385           2.97117
               2.8             9.554           11.5585           1.27523
           3.06667             4.844            6.8025          0.929321
           3.33333             2.862             5.078           0.78762
               3.6             2.194             2.864           0.67371
           3.86667             0.474             1.321          0.330123
           4.13333             0.388            0.6535          0.214374
               4.4             0.612              0.68          0.150836
           4.66667                 0            0.1415         0.0885646
           4.93333                 0             0.091         0.0672328
               5.2                 0            0.0285         0.0246817
           5.46667                 0            0.0115        0.00995929
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.326            0.3132          0.114782
               0.4             1.508             1.746          0.319105
          0.666667             2.688            2.3576          0.437128
          0.933333             7.066            5.4296           1.01269
               1.2             10.41            7.6176            1.2595
           1.46667             13.08           10.4988           1.39663
           1.73333            17.026           12.3484           1.22846
                 2            15.124           13.0168          0.866339
           2.26667            13.622           14.2272           1.24103
           2.53333              8.89           13.4088           2.58279
               2.8              6.79           10.6048           1.32981
           3.06667             3.826            6.2072          0.914458
           3.33333             4.866            5.0356          0.631236
               3.6             1.392            2.5696          0.599853
           3.86667             0.386             1.134          0.312607
           4.13333              0.27            0.5768          0.184711
               4.4              0.73              0.69             0.121
           4.66667                 0            0.1132         0.0752374
           4.93333                 0            0.0728         0.0561957
               5.2                 0            0.0228         0.0203929
           5.46667                 0            0.0092        0.00822873
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.14          0.284333         0.0992152
               0.4               1.2             1.655          0.278594
          0.666667             1.714           2.25033          0.377205
          0.933333             5.356           5.41733          0.843984
               1.2            12.812           8.48333           1.31385
           1.46667            13.392            10.981           1.24432
           1.73333             16.76           13.0837           1.22413
                 2            12.666           12.9583          0.723919
           2.26667            14.462           14.2663           1.03481
           2.53333             8.746           12.6317           2.26622
               2.8             9.438           10.4103           1.12231
           3.06667             5.908           6.15733          0.763407
           3.33333             3.366           4.75733          0.584153
               3.6              0.62           2.24467          0.581259
           3.86667             0.148          0.969667          0.300612
           4.13333              1.11          0.665667          0.173995
               4.4             0.162             0.602          0.128921
           4.66667                 0         0.0943333         0.0650204
           4.93333                 0         0.0606667         0.0481218
               5.2                 0             0.019         0.0173445
           5.46667                 0        0.00766667        0.00699868
           5.73333                 0                 0                 0
                 6                 0                 0                 0
