#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1           -1.5301           -1.5301                 0
                 2          -1.30985          -1.41998         0.0778695
                 3         -0.957076          -1.26568          0.136262
                 4         -0.711638          -1.12717          0.157584
                 5         -0.617521          -1.02524          0.155578
                 6         -0.656156         -0.963724          0.141287
                 7          -0.63389         -0.916604          0.128721
                 8          -0.57105          -0.87341          0.119659
                 9         -0.510019         -0.833033           0.11297
                10         -0.440825         -0.793813          0.108268
                11         -0.458622         -0.763341          0.102624
                12         -0.466277         -0.738585         0.0970115
                13         -0.444308         -0.715949         0.0921523
                14         -0.442554         -0.696421         0.0876147
                15         -0.412796         -0.677512         0.0837892
                16         -0.423735         -0.661651         0.0800395
                17         -0.477634         -0.650827         0.0760598
                18         -0.433954         -0.638778         0.0727823
                19         -0.402116         -0.626322         0.0700094
                20         -0.372062         -0.613609         0.0676533
                21         -0.367143         -0.601873         0.0654418
                22         -0.393451         -0.592399         0.0631492
                23         -0.378644         -0.583105         0.0610836
                24         -0.390999         -0.575101         0.0590606
                25         -0.380001         -0.567297         0.0572115
                26         -0.384208         -0.560255         0.0554427
                27         -0.367709         -0.553124         0.0538459
                28         -0.400917         -0.547688         0.0521965
                29         -0.374486         -0.541715         0.0507372
                30         -0.376806         -0.536218         0.0493428
                31         -0.409439         -0.532129         0.0479203
                32         -0.400466         -0.528014         0.0465991
                33         -0.377924         -0.523466         0.0454084
                34         -0.367233         -0.518871         0.0443048
                35         -0.397955         -0.515416         0.0431734
                36         -0.363642           -0.5112         0.0421795
                37         -0.385098         -0.507792          0.041177
                38         -0.443374         -0.506097         0.0401282
                39          -0.41259         -0.503699         0.0391709
                40         -0.435364         -0.501991         0.0382288
