#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1         0.0786111         0.0786111                 0
                 2         0.0801782         0.0793946       0.000554041
                 3         0.0639344         0.0742412        0.00422393
                 4         0.0502616         0.0682463        0.00608194
                 5         0.0493039         0.0644578        0.00592922
                 6          0.058359         0.0634414        0.00502739
                 7         0.0582334         0.0626974         0.0043639
                 8         0.0567425          0.061953        0.00388137
                 9         0.0595004         0.0616805        0.00345966
                10         0.0594315         0.0614556          0.003121
                11         0.0607896         0.0613951        0.00283786
                12         0.0557391         0.0609237        0.00264022
                13         0.0568977          0.060614        0.00245522
                14         0.0595947         0.0605412        0.00228093
                15          0.055377         0.0601969        0.00215469
                16         0.0525453         0.0597187        0.00207242
                17         0.0603933         0.0597584        0.00195089
                18         0.0545103         0.0594668        0.00186417
                19         0.0499984         0.0589685        0.00183145
                20         0.0499191          0.058516         0.0017949
                21         0.0577214         0.0584782        0.00170983
                22          0.060698         0.0585791        0.00163508
                23         0.0574821         0.0585314        0.00156469
                24         0.0576177         0.0584933        0.00149996
                25         0.0520241         0.0582346        0.00146211
                26         0.0586593         0.0582509        0.00140596
                27         0.0543972         0.0581082        0.00136112
                28         0.0579288         0.0581018        0.00131252
                29         0.0562693         0.0580386        0.00126878
                30         0.0566518         0.0579923        0.00122733
                31         0.0571175         0.0579641        0.00118806
                32         0.0582425         0.0579728        0.00115097
                33          0.056636         0.0579323         0.0011168
                34         0.0550592         0.0578478        0.00108715
                35          0.060485         0.0579232         0.0010587
                36         0.0511665         0.0577355        0.00104579
                37         0.0602093         0.0578023        0.00101966
                38         0.0620688         0.0579146        0.00099899
                39         0.0576861         0.0579087       0.000973392
                40         0.0585862         0.0579257       0.000949205
