#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1            2.0784            2.0784                 0
                 2           1.93287           2.00563         0.0514527
                 3           1.69884           1.90337         0.0902689
                 4           1.53596           1.81152          0.104456
                 5           1.47338           1.74389           0.10316
                 6           1.49943           1.70314         0.0936671
                 7           1.48481           1.67195         0.0853213
                 8           1.44299           1.64333         0.0793113
                 9           1.40232           1.61655         0.0748837
                10           1.35599            1.5905         0.0717857
                11           1.36802           1.57027         0.0680493
                12           1.37297           1.55383         0.0643342
                13           1.35838            1.5388          0.061117
                14           1.35715           1.52582         0.0581124
                15           1.33735           1.51326           0.05558
                16           1.34466           1.50272         0.0530957
                17           1.38054           1.49553         0.0504565
                18            1.3516           1.48753         0.0482829
                19           1.33033           1.47926         0.0464452
                20           1.31028           1.47081         0.0448849
                21           1.30689           1.46301         0.0434209
                22           1.32446           1.45671         0.0419015
                23           1.31462           1.45053         0.0405325
                24           1.32284           1.44521         0.0391913
                25           1.31556           1.44002         0.0379652
                26            1.3184           1.43535          0.036792
                27           1.30737           1.43061         0.0357334
                28           1.32941           1.42699         0.0346395
                29           1.31185           1.42302         0.0336718
                30           1.31352           1.41937         0.0327466
                31           1.33517           1.41666         0.0318027
                32           1.32938           1.41393         0.0309256
                33           1.31432           1.41091         0.0301354
                34           1.30719           1.40786         0.0294031
                35           1.32757           1.40557         0.0286523
                36           1.30462           1.40276         0.0279933
                37           1.31882           1.40049         0.0273285
                38           1.35784           1.39937         0.0266324
                39           1.33715           1.39778         0.0259973
                40           1.35244           1.39664          0.025372
