#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1           1.58749           1.58749                 0
                 2           1.58945           1.58847        0.00069043
                 3           1.59118           1.58938       0.000870388
                 4            1.5923           1.59011       0.000910046
                 5           1.59254           1.59059       0.000848503
                 6           1.59299           1.59099       0.000795394
                 7           1.59333           1.59133       0.000748433
                 8           1.59343           1.59159       0.000699618
                 9           1.59346            1.5918       0.000651904
                10           1.59315           1.59193       0.000600656
                11           1.59341           1.59207       0.000560817
                12           1.59318           1.59216       0.000521626
                13           1.59326           1.59224       0.000488286
                14           1.59317           1.59231       0.000457879
                15           1.59323           1.59237         0.0004314
                16           1.59325           1.59243       0.000407931
                17           1.59317           1.59247       0.000386302
                18           1.59344           1.59252       0.000368572
                19           1.59337           1.59257       0.000351882
                20           1.59336           1.59261       0.000336506
                21           1.59319           1.59264       0.000321616
                22           1.59324           1.59266       0.000308154
                23           1.59329           1.59269       0.000295966
                24           1.59326           1.59271       0.000284571
                25           1.59334           1.59274       0.000274288
                26            1.5934           1.59276       0.000264902
                27           1.59334           1.59279       0.000255958
                28            1.5932            1.5928        0.00024724
                29           1.59329           1.59282       0.000239294
                30           1.59347           1.59284       0.000232305
                31           1.59332           1.59286       0.000225331
                32           1.59361           1.59288       0.000219511
                33           1.59356            1.5929       0.000213835
                34           1.59356           1.59292       0.000208422
                35            1.5934           1.59293       0.000202921
                36           1.59328           1.59294       0.000197515
                37           1.59313           1.59295       0.000192239
                38           1.59339           1.59296       0.000187528
                39           1.59314           1.59296       0.000182776
                40           1.59329           1.59297       0.000178394
