# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088            0.0048            0.0048                 0
          0.897737            0.3208            0.3208                 0
          0.923387             2.752             2.752                 0
          0.949037           11.9492           11.9492                 0
          0.974686           30.3192           30.3192                 0
           1.00034           51.2588           51.2588                 0
           1.02599           71.4328           71.4328                 0
           1.05164           82.3608           82.3608                 0
           1.07728           86.1356           86.1356                 0
           1.10293           86.6488           86.6488                 0
           1.12858           82.8884           82.8884                 0
           1.15423           76.6316           76.6316                 0
           1.17988           69.1232           69.1232                 0
           1.20553           65.9152           65.9152                 0
           1.23118            60.428            60.428                 0
           1.25683           55.4644           55.4644                 0
           1.28248            51.048            51.048                 0
           1.30813           49.1264           49.1264                 0
           1.33378           48.0964           48.0964                 0
           1.35943             46.15             46.15                 0
           1.38508           44.2924           44.2924                 0
           1.41073             43.16             43.16                 0
           1.43638            43.556            43.556                 0
           1.46203           42.0644           42.0644                 0
           1.48768           42.9116           42.9116                 0
           1.51333            43.172            43.172                 0
           1.53898             44.29             44.29                 0
           1.56463             45.39             45.39                 0
           1.59028           46.5508           46.5508                 0
           1.61593           49.7676           49.7676                 0
           1.64158           52.7288           52.7288                 0
           1.66723           56.6396           56.6396                 0
           1.69288           60.0176           60.0176                 0
           1.71853           65.9592           65.9592                 0
           1.74418             70.44             70.44                 0
           1.76983           74.8116           74.8116                 0
           1.79547           80.4836           80.4836                 0
           1.82112           87.6192           87.6192                 0
           1.84677           92.7276           92.7276                 0
           1.87242           99.7568           99.7568                 0
           1.89807            107.22            107.22                 0
           1.92372           114.387           114.387                 0
           1.94937           123.174           123.174                 0
           1.97502           128.796           128.796                 0
           2.00067           133.327           133.327                 0
           2.02632           141.354           141.354                 0
           2.05197             145.5             145.5                 0
           2.07762           152.388           152.388                 0
           2.10327           153.254           153.254                 0
           2.12892            155.16            155.16                 0
           2.15457           155.369           155.369                 0
           2.18022           154.309           154.309                 0
           2.20587           155.507           155.507                 0
           2.23152           155.298           155.298                 0
           2.25717            154.91            154.91                 0
           2.28282           152.663           152.663                 0
           2.30847           150.364           150.364                 0
           2.33412           149.378           149.378                 0
           2.35977           150.197           150.197                 0
           2.38542           148.208           148.208                 0
           2.41107            149.81            149.81                 0
           2.43672           152.051           152.051                 0
           2.46237           151.172           151.172                 0
           2.48802           153.899           153.899                 0
           2.51366           155.678           155.678                 0
           2.53931           158.543           158.543                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088            0.0132             0.009        0.00296985
          0.897737            0.3712             0.346         0.0178191
          0.923387            3.1368            2.9444          0.136047
          0.949037           12.1272           12.0382         0.0629325
          0.974686           29.3052           29.8122          0.358503
           1.00034           51.4808           51.3698         0.0784889
           1.02599            70.358           70.8954          0.379999
           1.05164           84.4664           83.4136          0.744442
           1.07728           87.3552           86.7454          0.431194
           1.10293           86.7696           86.7092         0.0427092
           1.12858           81.4656            82.177          0.503036
           1.15423           75.9716           76.3016          0.233345
           1.17988           71.2468            70.185          0.750806
           1.20553             65.91           65.9126        0.00183848
           1.23118           62.0456           61.2368          0.571908
           1.25683           55.8284           55.6464          0.128693
           1.28248           53.3872           52.2176          0.827032
           1.30813           48.4388           48.7826          0.243103
           1.33378           45.3056            46.701          0.986697
           1.35943            44.586            45.368          0.552958
           1.38508           42.9132           43.6028          0.487621
           1.41073           41.5512           42.3556          0.568797
           1.43638           41.2472           42.4016          0.816284
           1.46203           41.7304           41.8974          0.118087
           1.48768           41.6012           42.2564          0.463296
           1.51333           43.2356           43.2038          0.022486
           1.53898            44.368            44.329         0.0275772
           1.56463           44.8972           45.1436          0.174231
           1.59028           46.9736           46.7622          0.149482
           1.61593           49.7456           49.7566        0.00777817
           1.64158           52.6124           52.6706         0.0411536
           1.66723            58.092           57.3658          0.513501
           1.69288           60.3612           60.1894          0.121481
           1.71853           65.1644           65.5618          0.281004
           1.74418           71.4796           70.9598          0.367554
           1.76983            77.348           76.0798          0.896753
           1.79547           83.0316           81.7576          0.900854
           1.82112           87.5256           87.5724         0.0330926
           1.84677           94.6848           93.7062          0.691975
           1.87242           100.598           100.178          0.297551
           1.89807           108.849           108.034          0.576009
           1.92372           116.728           115.557          0.827739
           1.94937           122.867            123.02          0.108329
           1.97502            129.78           129.288          0.347897
           2.00067           135.773            134.55           0.86465
           2.02632           142.915           142.135          0.551968
           2.05197           148.416           146.958           1.03082
           2.07762           150.861           151.624          0.539664
           2.10327           149.347             151.3            1.3814
           2.12892           151.065           153.113           1.44787
           2.15457            151.58           153.474           1.33954
           2.18022           152.474           153.392          0.648841
           2.20587            151.38           153.443           1.45904
           2.23152            150.89           153.094            1.5586
           2.25717           152.305           153.607          0.921077
           2.28282            150.87           151.767          0.633992
           2.30847           151.608           150.986          0.439679
           2.33412           150.616           149.997          0.437416
           2.35977           152.234           151.215          0.720259
           2.38542           149.753            148.98          0.546452
           2.41107           150.139           149.975          0.116107
           2.43672           147.891           149.971           1.47092
           2.46237           151.232           151.202         0.0213546
           2.48802           154.726           154.312          0.292459
           2.51366           158.143            156.91          0.871438
           2.53931            159.38           158.961          0.295995
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088            0.0024            0.0068        0.00267333
          0.897737            0.3272          0.339733         0.0129345
          0.923387            3.0376           2.97547         0.0941785
          0.949037           11.9852           12.0205         0.0443655
          0.974686           29.9648           29.8631          0.242584
           1.00034           51.4936           51.4111         0.0622358
           1.02599           68.6424           70.1444          0.663459
           1.05164            81.546           82.7911          0.710404
           1.07728            86.302           86.5976          0.311766
           1.10293             85.43           86.2828          0.349316
           1.12858            80.306           81.5533           0.60973
