#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           1.47466           1.47466                 0
                 2           1.47283           1.47374       0.000648514
                 3            1.4712            1.4729       0.000815224
                 4           1.48811            1.4767        0.00334984
                 5           1.48112           1.47758        0.00279402
                 6           1.47996           1.47798        0.00235614
                 7           1.47078           1.47695         0.0022328
                 8            1.4704           1.47613        0.00209867
                 9           1.46138           1.47449        0.00242241
                10           1.47743           1.47479        0.00219786
                11           1.46511           1.47391        0.00216684
                12           1.47712           1.47417        0.00200272
                13           1.47499           1.47424        0.00184965
                14            1.4635           1.47347        0.00186978
                15           1.47621           1.47365        0.00175401
                16           1.48741           1.47451        0.00184319
                17           1.46587             1.474        0.00180356
                18           1.47162           1.47387         0.0017082
                19           1.46908           1.47362        0.00163683
                20           1.48045           1.47396        0.00159018
                21           1.47779           1.47414        0.00152488
                22           1.48327           1.47456        0.00151097
                23           1.47188           1.47444        0.00144975
                24           1.47463           1.47445        0.00138937
                25            1.4862           1.47492        0.00141109
                26           1.47981           1.47511        0.00136929
                27           1.48173           1.47535        0.00134036
                28           1.46659           1.47504        0.00132851
                29            1.4695           1.47485        0.00129634
                30           1.45826            1.4743        0.00136597
                31           1.48306           1.47458        0.00135087
                32           1.46799           1.47437        0.00132424
                33           1.47387           1.47436         0.0012842
                34           1.48022           1.47453        0.00125795
                35            1.4609           1.47414        0.00128083
                36           1.47394           1.47414        0.00124527
                37           1.45697           1.47367        0.00129516
                38           1.47468            1.4737        0.00126135
                39           1.49498           1.47424        0.00134188
                40            1.4613           1.47392        0.00134676
                41           1.47556           1.47396         0.0013145
                42           1.47816           1.47406          0.001287
                43           1.47608           1.47411        0.00125792
                44           1.47317           1.47409        0.00122951
                45            1.4735           1.47407        0.00120226
                46           1.47404           1.47407        0.00117613
                47           1.46722           1.47393        0.00116011
                48           1.46147           1.47367        0.00116461
                49            1.4668           1.47353        0.00114924
                50           1.48345           1.47372        0.00114327
                51           1.47499           1.47375        0.00112112
                52           1.48717           1.47401        0.00112886
                53            1.4783           1.47409        0.00111046
                54           1.49678           1.47451        0.00116672
                55           1.47349           1.47449        0.00114565
                56           1.49055           1.47478        0.00116055
                57           1.48472           1.47495        0.00115322
                58           1.48698           1.47516        0.00115182
                59           1.48304           1.47529        0.00114002
                60           1.46688           1.47515         0.0011296
                61           1.47773           1.47519        0.00111187
                62           1.48008           1.47527        0.00109673
                63           1.47411           1.47525        0.00107947
                64           1.46523            1.4751        0.00107392
                65           1.47535            1.4751        0.00105741
                66           1.48179            1.4752        0.00104623
                67           1.47915           1.47526        0.00103227
                68           1.47292           1.47523        0.00101766
                69           1.47073           1.47516          0.001005
                70           1.48404           1.47529        0.00099862
                71           1.46344           1.47512       0.000998395
                72           1.47957           1.47518        0.00098644
                73           1.47085           1.47512       0.000974715
                74           1.47338            1.4751       0.000961828
                75           1.48201           1.47519       0.000953406
                76             1.471           1.47514       0.000942459
                77           1.47987            1.4752       0.000932218
                78           1.49746           1.47549       0.000962976
                79           1.47938           1.47553       0.000952047
                80           1.47771           1.47556       0.000940534
                81            1.4797           1.47561       0.000930308
                82           1.47362           1.47559        0.00091928
                83           1.47097           1.47553       0.000909889
                84           1.48234           1.47561        0.00090266
                85           1.48764           1.47576       0.000903053
                86           1.47269           1.47572       0.000893258
                87           1.48198           1.47579       0.000885888
                88            1.4832           1.47588       0.000879809
                89           1.48185           1.47594       0.000872482
                90           1.48206           1.47601       0.000865434
                91           1.48221           1.47608       0.000858599
                92           1.49815           1.47632        0.00088214
                93           1.46433           1.47619       0.000882019
                94           1.46097           1.47603       0.000887373
                95           1.47386           1.47601       0.000878325
                96           1.47778           1.47602       0.000869371
                97           1.46319           1.47589       0.000870423
                98           1.48583           1.47599       0.000867431
                99           1.47844           1.47602       0.000859021
               100           1.47357           1.47599       0.000850779
