#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -5.55168          -5.55168                 0
                 2          -5.54914          -5.55041        0.00089835
                 3          -5.54801          -5.54961       0.000886287
                 4          -5.56573          -5.55364        0.00355151
                 5          -5.55816          -5.55454        0.00295414
                 6           -5.5574          -5.55502        0.00249994
                 7          -5.54698          -5.55387         0.0023921
                 8          -5.54628          -5.55292        0.00227366
                 9          -5.53797          -5.55126        0.00255688
                10          -5.55459          -5.55159         0.0023227
                11          -5.54196          -5.55072        0.00227062
                12          -5.55454          -5.55104        0.00210356
                13          -5.55171          -5.55109        0.00194239
                14          -5.53967          -5.55027        0.00196734
                15          -5.55315          -5.55047        0.00184552
                16          -5.56373          -5.55129        0.00190725
                17          -5.54346          -5.55083        0.00184992
                18          -5.54787          -5.55067        0.00175444
                19          -5.54623          -5.55044        0.00167759
                20          -5.55738          -5.55078        0.00162929
                21          -5.55485          -5.55098        0.00156314
                22           -5.5609          -5.55143        0.00155588
                23          -5.54864          -5.55131        0.00149294
                24          -5.55155          -5.55132        0.00143077
                25          -5.56324          -5.55179        0.00145088
                26          -5.55613          -5.55196        0.00140461
                27          -5.55844           -5.5522        0.00137293
                28           -5.5439           -5.5519        0.00135552
                29          -5.54633          -5.55171        0.00132234
                30          -5.53487          -5.55115        0.00139236
                31          -5.56076          -5.55146        0.00138154
                32          -5.54482          -5.55125        0.00135388
                33          -5.55168          -5.55127        0.00131291
                34          -5.55755          -5.55145        0.00128723
                35          -5.53854          -5.55108        0.00130219
                36           -5.5512          -5.55108        0.00126602
                37           -5.5337          -5.55061        0.00131611
                38          -5.55213          -5.55065        0.00128208
                39          -5.57208           -5.5512        0.00136183
                40          -5.53761          -5.55086        0.00136952
                41          -5.55371          -5.55093        0.00133788
                42          -5.55586          -5.55105        0.00131116
                43          -5.55388          -5.55112        0.00128232
                44          -5.55049           -5.5511        0.00125325
                45           -5.5498          -5.55107        0.00122573
                46          -5.55052          -5.55106        0.00119915
                47          -5.54429          -5.55092        0.00118225
                48          -5.53768          -5.55064        0.00118934
                49          -5.54259          -5.55048        0.00117636
                50          -5.56139           -5.5507        0.00117292
                51          -5.55194          -5.55072        0.00115018
                52          -5.56549            -5.551        0.00116262
                53           -5.5551          -5.55108        0.00114325
                54           -5.5737           -5.5515        0.00119636
                55          -5.55094          -5.55149        0.00117465
                56           -5.5689           -5.5518        0.00119411
                57           -5.5614          -5.55197        0.00118497
                58          -5.56382          -5.55217        0.00118201
                59          -5.56051          -5.55232        0.00117038
                60          -5.54379          -5.55217        0.00115948
                61          -5.55406           -5.5522        0.00114089
                62          -5.55625          -5.55227        0.00112435
                63           -5.5508          -5.55225        0.00110675
                64          -5.54165          -5.55208        0.00110176
                65          -5.55173          -5.55208        0.00108483
                66          -5.55933          -5.55219        0.00107395
                67          -5.55596          -5.55224         0.0010594
                68          -5.55008          -5.55221         0.0010443
                69          -5.54784          -5.55215        0.00103109
                70          -5.56171          -5.55228        0.00102536
                71          -5.54051          -5.55212        0.00102423
                72          -5.55643          -5.55218        0.00101175
                73          -5.54688           -5.5521         0.0010005
                74          -5.55023          -5.55208       0.000987295
                75          -5.55917          -5.55217       0.000978647
                76          -5.54767          -5.55211       0.000967558
                77          -5.55681          -5.55218       0.000956909
                78          -5.57472          -5.55246       0.000987315
                79          -5.55708          -5.55252       0.000976543
                80          -5.55553          -5.55256       0.000965058
                81          -5.55608           -5.5526       0.000954119
                82          -5.55147          -5.55259       0.000942584
                83           -5.5481          -5.55254       0.000932775
                84           -5.5595          -5.55262       0.000925351
                85          -5.56515          -5.55277       0.000926133
                86          -5.55026          -5.55274       0.000915823
                87          -5.56015          -5.55282       0.000909253
                88           -5.5604          -5.55291       0.000902993
                89          -5.55948          -5.55298       0.000895861
                90          -5.55924          -5.55305       0.000888597
                91          -5.55927          -5.55312       0.000881455
                92          -5.57613          -5.55337       0.000906665
                93          -5.54047          -5.55323       0.000907471
                94          -5.53747          -5.55306       0.000913183
                95          -5.55144          -5.55305       0.000903731
                96          -5.55466          -5.55306       0.000894472
                97          -5.54012          -5.55293       0.000895156
                98           -5.5626          -5.55303       0.000891447
                99          -5.55524          -5.55305       0.000882722
               100           -5.5508          -5.55303       0.000874181
