#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1          0.921878          0.921878                 0
                 2          0.956472          0.939175         0.0122308
                 3          0.876243          0.918198         0.0189695
                 4          0.862132          0.904181         0.0187018
                 5          0.868878          0.897121         0.0162396
                 6          0.847242          0.888808         0.0155155
                 7          0.946438           0.89704         0.0153285
                 8           0.94516          0.903055         0.0145447
                 9          0.946664          0.907901          0.013712
                10          0.892833          0.906394         0.0124233
                11          0.926125          0.908188         0.0114227
                12          0.856936          0.903917          0.011241
                13          0.939618          0.906663         0.0107065
                14          0.979647          0.911876         0.0111388
                15          0.904587           0.91139         0.0104068
                16          0.893714          0.910285        0.00981487
                17           0.95729           0.91305         0.0096191
                18          0.949466          0.915073        0.00929503
                19          0.907532          0.914677        0.00881428
                20          0.873589          0.912622        0.00860966
                21          0.952995          0.914545        0.00841158
                22          0.812731          0.909917         0.0092148
                23          0.887152          0.908927        0.00886715
                24          0.933828          0.909965        0.00855818
                25          0.894873          0.909361        0.00823711
                26          0.900161          0.909007         0.0079279
                27           0.89041          0.908318        0.00766414
                28          0.946117          0.909668        0.00750837
                29           0.90745          0.909592        0.00724985
                30          0.979907          0.911936        0.00737734
                31          0.877603          0.910828        0.00722202
                32          0.912927          0.910894        0.00699663
                33          0.897857          0.910499        0.00679575
                34          0.861224          0.909049        0.00674864
                35          0.934044          0.909763         0.0065935
                36          0.919375           0.91003        0.00641575
                37          0.970309           0.91166        0.00644587
                38          0.903649          0.911449        0.00627969
                39          0.867252          0.910316        0.00622009
                40           1.01633          0.912966        0.00660518
                41          0.909238          0.912875         0.0064447
                42          0.884164          0.912191        0.00632741
                43          0.880506          0.911455        0.00622302
                44          0.909447          0.911409        0.00608175
                45          0.961895          0.912531         0.0060492
                46          0.918883          0.912669        0.00591927
                47           0.93243          0.913089        0.00580824
                48           0.99574          0.914811        0.00593699
                49          0.984662          0.916237        0.00598452
                50          0.864158          0.915195        0.00595478
                51          0.877852          0.914463        0.00588286
                52          0.824331           0.91273        0.00601967
                53          0.891322          0.912326        0.00591962
                54          0.774682          0.909777        0.00633506
                55          0.930746          0.910158        0.00623134
                56          0.816129          0.908479        0.00634225
                57          0.882577          0.908025        0.00624724
                58          0.870093          0.907371        0.00617367
                59          0.864838           0.90665        0.00611098
                60          0.991808          0.908069        0.00617175
                61          0.923421          0.908321         0.0060757
                62          0.894573          0.908099        0.00598175
                63          0.966055          0.909019        0.00595712
                64           1.02202          0.910785        0.00612013
                65          0.966978          0.911649        0.00608673
                66          0.879137          0.911157         0.0060144
                67          0.913823          0.911196        0.00592477
                68          0.917181          0.911284        0.00583829
                69          0.939293           0.91169        0.00576777
                70          0.907197          0.911626        0.00568573
                71          0.949639          0.912161        0.00563081
                72          0.915413          0.912207        0.00555278
                73          0.899398          0.912031        0.00547949
                74          0.959697          0.912675        0.00544317
                75          0.883227          0.912283        0.00538474
                76          0.919979          0.912384        0.00531484
                77          0.917294          0.912448        0.00524619
                78          0.803121          0.911046         0.0053629
                79          0.851486          0.910292        0.00534775
                80          0.875531          0.909858        0.00529852
                81          0.930421          0.910112        0.00523919
                82          0.855726          0.909448        0.00521711
                83          0.859741          0.908849        0.00518851
                84          0.831937          0.907934        0.00520691
                85          0.866975          0.907452         0.0051679
                86          0.908122           0.90746        0.00510781
                87          0.926712          0.907681        0.00505389
                88          0.848436          0.907008        0.00504111
                89           0.83281          0.906174        0.00505293
                90          0.879355          0.905876        0.00500556
                91          0.880442          0.905597        0.00495836
                92          0.789571          0.904335        0.00506231
                93          0.964632          0.904984        0.00504922
                94          0.960926          0.905579        0.00503046
                95          0.935001          0.905889        0.00498703
                96          0.912525          0.905958        0.00493556
                97          0.947571          0.906387        0.00490329
                98          0.871992          0.906036         0.0048658
                99          0.874709          0.905719        0.00482693
               100           0.89226          0.905585        0.00478053
