#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1          0.983107          0.983107                 0
                 2          0.981885          0.982496       0.000432343
                 3          0.980803          0.981932       0.000543483
                 4          0.992073          0.984467        0.00223323
                 5          0.987413          0.985056        0.00186268
                 6          0.986637           0.98532        0.00157076
                 7           0.98052          0.984634        0.00148853
                 8          0.980264          0.984088        0.00139911
                 9          0.974253          0.982995        0.00161494
                10          0.984951          0.983191        0.00146524
                11          0.976742          0.982604        0.00144456
                12          0.984744          0.982783        0.00133514
                13          0.983328          0.982825         0.0012331
                14          0.975667          0.982313        0.00124652
                15          0.984138          0.982435        0.00116934
                16          0.991608          0.983008        0.00122879
                17          0.977245          0.982669        0.00120237
                18          0.981082          0.982581         0.0011388
                19          0.979385          0.982413        0.00109122
                20          0.986964           0.98264        0.00106012
                21          0.985194          0.982762        0.00101658
                22          0.988848          0.983039        0.00100731
                23          0.981253          0.982961       0.000966501
                24          0.983087          0.982966       0.000926245
                25          0.990801           0.98328       0.000940724
                26           0.98654          0.983405       0.000912863
                27          0.987819          0.983569       0.000893573
                28          0.977728           0.98336       0.000885674
                29          0.979669          0.983233        0.00086423
                30          0.972174          0.982864       0.000910645
                31           0.98871          0.983053       0.000900581
                32          0.978662          0.982915       0.000882827
                33           0.98258          0.982905       0.000856133
                34          0.986813           0.98302       0.000838631
                35          0.973936          0.982761       0.000853889
                36          0.982625          0.982757       0.000830178
                37          0.971312          0.982448       0.000863441
                38          0.983117          0.982465       0.000840899
                39          0.996654          0.982829       0.000894588
                40          0.974203          0.982613       0.000897839
                41          0.983706           0.98264       0.000876336
                42          0.985438          0.982707       0.000857998
                43          0.984051          0.982738       0.000838615
                44           0.98211          0.982724       0.000819676
                45          0.982331          0.982715       0.000801508
                46          0.982696          0.982714       0.000784084
                47          0.978144          0.982617       0.000773409
                48          0.974313          0.982444       0.000776407
                49          0.977867          0.982351        0.00076616
                50          0.988968          0.982483       0.000762183
                51          0.983323            0.9825       0.000747417
                52          0.991444          0.982672       0.000752576
                53          0.985531          0.982726       0.000740307
                54          0.997856          0.983006       0.000777813
                55          0.982326          0.982993        0.00076377
                56          0.993702          0.983185       0.000773697
                57          0.989812          0.983301       0.000768811
                58          0.991317          0.983439       0.000767879
                59          0.988694          0.983528       0.000760011
                60          0.977921          0.983435       0.000753067
                61          0.985153          0.983463       0.000741248
                62           0.98672          0.983515       0.000731152
                63          0.982742          0.983503        0.00071965
                64          0.976817          0.983399       0.000715947
                65          0.983564          0.983401       0.000704937
                66          0.987859          0.983469       0.000697485
                67          0.986101          0.983508        0.00068818
                68          0.981947          0.983485       0.000678443
                69          0.980487          0.983442           0.00067
                70          0.989362          0.983526       0.000665746
                71          0.975629          0.983415       0.000665597
                72          0.986382          0.983456       0.000657626
                73          0.980564          0.983417        0.00064981
                74          0.982254          0.983401       0.000641219
                75          0.988007          0.983462       0.000635604
                76          0.980665          0.983425       0.000628306
                77          0.986578          0.983466       0.000621479
                78          0.998309          0.983657       0.000641984
                79          0.986252           0.98369       0.000634698
                80          0.985139          0.983708       0.000627023
                81          0.986466          0.983742       0.000620205
                82          0.982414          0.983726       0.000612853
                83          0.980644          0.983688       0.000606593
                84          0.988227          0.983742       0.000601773
                85          0.991757          0.983837       0.000602036
                86           0.98179          0.983813       0.000595505
                87          0.987989          0.983861       0.000590592
                88          0.988798          0.983917       0.000586539
                89          0.987901          0.983962       0.000581655
                90          0.988042          0.984007       0.000576956
                91          0.988139          0.984053       0.000572399
                92          0.998765          0.984212       0.000588093
                93          0.976222          0.984127       0.000588013
                94           0.97398          0.984019       0.000591582
                95          0.982575          0.984003        0.00058555
                96          0.985187          0.984016       0.000579581
                97          0.975458          0.983928       0.000580282
                98          0.990555          0.983995       0.000578288
                99          0.985626          0.984012       0.000572681
               100          0.982381          0.983995       0.000567186
