#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1          -4.07702          -4.07702                 0
                 2          -4.07631          -4.07667       0.000249836
                 3          -4.07681          -4.07671       0.000170797
                 4          -4.07762          -4.07694       0.000233458
                 5          -4.07704          -4.07696       0.000187685
                 6          -4.07745          -4.07704       0.000173141
                 7           -4.0762          -4.07692       0.000185331
                 8          -4.07588          -4.07679       0.000202644
                 9          -4.07659          -4.07677       0.000181337
                10          -4.07716          -4.07681       0.000167365
                11          -4.07685          -4.07681       0.000152191
                12          -4.07742          -4.07686        0.00014765
                13          -4.07672          -4.07685       0.000136693
                14          -4.07617           -4.0768       0.000135226
                15          -4.07695          -4.07681       0.000126544
                16          -4.07632          -4.07678       0.000122394
                17          -4.07759          -4.07683       0.000124124
                18          -4.07625           -4.0768       0.000121351
                19          -4.07715          -4.07682       0.000116391
                20          -4.07694          -4.07682        0.00011073
                21          -4.07706          -4.07683       0.000106011
                22          -4.07763          -4.07687       0.000107246
                23          -4.07676          -4.07686       0.000102686
                24          -4.07692          -4.07687       9.84295e-05
                25          -4.07704          -4.07687       9.47345e-05
                26          -4.07631          -4.07685       9.34995e-05
                27          -4.07671          -4.07685        9.0186e-05
                28          -4.07731          -4.07686       8.84588e-05
                29          -4.07682          -4.07686       8.54192e-05
                30          -4.07661          -4.07685       8.29968e-05
                31           -4.0777          -4.07688       8.46577e-05
                32          -4.07682          -4.07688       8.20322e-05
                33          -4.07781          -4.07691       8.42939e-05
                34          -4.07733          -4.07692       8.27125e-05
                35          -4.07764          -4.07694       8.28738e-05
                36          -4.07727          -4.07695       8.10635e-05
                37          -4.07673          -4.07694       7.90863e-05
                38          -4.07746          -4.07696       7.81462e-05
                39           -4.0771          -4.07696       7.62266e-05
                40          -4.07631          -4.07694        7.6052e-05
                41          -4.07816          -4.07697       7.97321e-05
                42           -4.0777          -4.07699         7.971e-05
                43           -4.0778          -4.07701       8.00515e-05
                44          -4.07732          -4.07702       7.85458e-05
                45          -4.07631            -4.077        7.8368e-05
                46          -4.07648          -4.07699       7.74878e-05
                47          -4.07708          -4.07699       7.58607e-05
                48          -4.07621          -4.07698       7.59902e-05
                49          -4.07579          -4.07695       7.81971e-05
                50          -4.07794          -4.07697       7.91037e-05
                51          -4.07696          -4.07697        7.7553e-05
                52          -4.07833            -4.077       8.03265e-05
                53          -4.07681          -4.07699       7.88914e-05
                54          -4.07692          -4.07699       7.74427e-05
                55          -4.07745            -4.077       7.64865e-05
                56          -4.07835          -4.07702       7.88166e-05
                57          -4.07668          -4.07702       7.76636e-05
                58          -4.07684          -4.07702       7.63854e-05
                59          -4.07747          -4.07702       7.54701e-05
                60           -4.0769          -4.07702       7.42387e-05
                61          -4.07634          -4.07701       7.38668e-05
                62          -4.07617            -4.077       7.38995e-05
                63          -4.07669          -4.07699       7.28893e-05
                64          -4.07643          -4.07698       7.22837e-05
                65          -4.07638          -4.07697       7.17542e-05
                66          -4.07755          -4.07698       7.11891e-05
                67          -4.07681          -4.07698       7.01728e-05
                68          -4.07716          -4.07698       6.91917e-05
                69           -4.0771          -4.07698       6.82118e-05
                70          -4.07766          -4.07699       6.79231e-05
                71          -4.07707          -4.07699        6.6975e-05
                72          -4.07686          -4.07699       6.60726e-05
                73          -4.07603          -4.07698       6.64678e-05
                74          -4.07685          -4.07698       6.55916e-05
                75          -4.07716          -4.07698       6.47611e-05
                76          -4.07668          -4.07698       6.40311e-05
                77          -4.07694          -4.07698       6.32014e-05
                78          -4.07725          -4.07698       6.24907e-05
                79           -4.0777          -4.07699        6.2361e-05
                80          -4.07782            -4.077       6.24371e-05
                81          -4.07638          -4.07699       6.21354e-05
                82          -4.07785            -4.077       6.22539e-05
                83          -4.07714            -4.077       6.15255e-05
                84          -4.07716          -4.07701        6.0822e-05
                85          -4.07751          -4.07701       6.04003e-05
                86          -4.07757          -4.07702       6.00503e-05
                87          -4.07817          -4.07703       6.07975e-05
                88          -4.07721          -4.07703       6.01396e-05
                89          -4.07763          -4.07704       5.98348e-05
                90          -4.07717          -4.07704       5.91883e-05
                91          -4.07706          -4.07704       5.85382e-05
                92          -4.07798          -4.07705       5.87895e-05
                93          -4.07613          -4.07704       5.89801e-05
                94           -4.0765          -4.07704       5.86371e-05
                95          -4.07758          -4.07704       5.82973e-05
                96          -4.07688          -4.07704       5.77157e-05
                97          -4.07693          -4.07704        5.7132e-05
                98          -4.07677          -4.07704       5.66142e-05
                99           -4.0768          -4.07703       5.60932e-05
               100          -4.07723          -4.07704       5.55663e-05
