# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737             0.166             0.166                 0
          0.923387             2.488             2.488                 0
          0.949037            11.172            11.172                 0
          0.974686             28.93             28.93                 0
           1.00034            51.522            51.522                 0
           1.02599            72.366            72.366                 0
           1.05164             84.78             84.78                 0
           1.07728            87.824            87.824                 0
           1.10293            88.012            88.012                 0
           1.12858            79.004            79.004                 0
           1.15423            73.824            73.824                 0
           1.17988            68.066            68.066                 0
           1.20553            64.696            64.696                 0
           1.23118            61.962            61.962                 0
           1.25683            56.988            56.988                 0
           1.28248            52.292            52.292                 0
           1.30813             48.87             48.87                 0
           1.33378            46.974            46.974                 0
           1.35943            47.636            47.636                 0
           1.38508            45.294            45.294                 0
           1.41073            46.388            46.388                 0
           1.43638            44.978            44.978                 0
           1.46203             45.29             45.29                 0
           1.48768             43.15             43.15                 0
           1.51333            45.636            45.636                 0
           1.53898            45.254            45.254                 0
           1.56463             44.59             44.59                 0
           1.59028             44.41             44.41                 0
           1.61593            49.988            49.988                 0
           1.64158            53.882            53.882                 0
           1.66723            57.668            57.668                 0
           1.69288            62.272            62.272                 0
           1.71853            63.934            63.934                 0
           1.74418            67.394            67.394                 0
           1.76983            70.068            70.068                 0
           1.79547            75.468            75.468                 0
           1.82112                86                86                 0
           1.84677            86.404            86.404                 0
           1.87242            99.044            99.044                 0
           1.89807           103.274           103.274                 0
           1.92372            112.75            112.75                 0
           1.94937           121.934           121.934                 0
           1.97502           128.722           128.722                 0
           2.00067           131.376           131.376                 0
           2.02632           140.476           140.476                 0
           2.05197           144.448           144.448                 0
           2.07762            152.58            152.58                 0
           2.10327           157.824           157.824                 0
           2.12892           155.878           155.878                 0
           2.15457           157.284           157.284                 0
           2.18022           160.258           160.258                 0
           2.20587           154.742           154.742                 0
           2.23152           161.348           161.348                 0
           2.25717             160.3             160.3                 0
           2.28282           153.988           153.988                 0
           2.30847           157.412           157.412                 0
           2.33412           151.684           151.684                 0
           2.35977           154.406           154.406                 0
           2.38542             150.2             150.2                 0
           2.41107            153.01            153.01                 0
           2.43672           152.354           152.354                 0
           2.46237            147.51            147.51                 0
           2.48802           158.268           158.268                 0
           2.51366           159.304           159.304                 0
           2.53931           160.016           160.016                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737             0.424             0.295         0.0912168
          0.923387             3.068             2.778          0.205061
          0.949037            12.782            11.977          0.569221
          0.974686             30.25             29.59           0.46669
           1.00034             50.46            50.991          0.375474
           1.02599            70.742            71.554          0.574171
           1.05164            82.182            83.481          0.918532
           1.07728            85.276             86.55          0.900854
           1.10293              86.9            87.456          0.393151
           1.12858             83.55            81.277           1.60725
           1.15423            79.398            76.611           1.97071
           1.17988            70.282            69.174          0.783474
           1.20553            66.046            65.371          0.477297
           1.23118            59.104            60.533           1.01046
           1.25683            55.632             56.31          0.479418
           1.28248            49.814            51.053          0.876105
           1.30813             47.34            48.105          0.540937
           1.33378            46.944            46.959         0.0106066
           1.35943            44.782            46.209           1.00904
           1.38508            43.808            44.551           0.52538
           1.41073            40.716            43.552           2.00535
           1.43638            43.268            44.123          0.604576
           1.46203            43.154            44.222           0.75519
           1.48768            43.698            43.424          0.193747
           1.51333            45.066            45.351          0.201525
           1.53898            43.356            44.305          0.671044
           1.56463            47.064            45.827          0.874691
           1.59028            48.354            46.382           1.39441
           1.61593             52.25            51.119          0.799738
           1.64158            50.924            52.403           1.04581
           1.66723            53.804            55.736           1.36613
           1.69288            60.258            61.265          0.712057
           1.71853            65.864            64.899          0.682358
           1.74418            71.608            69.501           1.48987
           1.76983            75.018            72.543           1.75009
           1.79547            82.028            78.748           2.31931
           1.82112            89.278            87.639           1.15895
           1.84677            93.746            90.075           2.59579
           1.87242             97.47            98.257          0.556493
           1.89807           102.746            103.01          0.186676
           1.92372           114.104           113.427          0.478711
           1.94937            119.77           120.852           0.76509
           1.97502           126.144           127.433          0.911461
           2.00067           134.902           133.139           1.24663
           2.02632            143.02           141.748           0.89944
           2.05197           151.542           147.995           2.50811
           2.07762           153.844           153.212          0.446891
           2.10327           157.956            157.89          0.046669
           2.12892           157.914           156.896          0.719835
           2.15457           157.322           157.303          0.013435
           2.18022           150.252           155.255           3.53766
           2.20587           158.004           156.373           1.15329
           2.23152           155.872            158.61           1.93606
           2.25717           154.708           157.504           1.97707
           2.28282           151.586           152.787          0.849235
           2.30847            147.71           152.561           3.43017
           2.33412           148.514           150.099           1.12076
           2.35977           148.076           151.241           2.23799
           2.38542           147.784           148.992          0.854185
           2.41107           149.144           151.077           1.36684
           2.43672           151.504           151.929           0.30052
           2.46237           149.412           148.461          0.672459
           2.48802           154.342           156.305           1.38805
           2.51366           154.324           156.814            1.7607
           2.53931           157.602           158.809          0.853478
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088              0.02        0.00666667        0.00544331
          0.897737             0.294          0.294667         0.0608118
          0.923387             2.622             2.726          0.143149
          0.949037            11.794            11.916          0.382735
          0.974686             29.33           29.5033          0.319073
           1.00034            49.544           50.5087          0.466642
           1.02599            71.314            71.474          0.388314
           1.05164            81.334           82.7653          0.846422
           1.07728            84.706           85.9353          0.782662
           1.10293             83.58            86.164           1.08699
           1.12858            86.836             83.13           1.85397
           1.15423            79.518             77.58           1.53364
           1.17988            71.448            69.932           0.80985
           1.20553            65.944            65.562           0.35436
           1.23118            62.824           61.2967          0.917921
           1.25683            55.098            55.906          0.459307
           1.28248             51.58           51.2287          0.601424
           1.30813            50.744           48.9847          0.803695
           1.33378            48.196           47.3713          0.336743
