#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -5.57846          -5.57846                 0
                 2          -5.53678          -5.55762         0.0147359
                 3          -5.57187          -5.56237         0.0105618
                 4          -5.53813          -5.55631        0.00950142
                 5          -5.53317          -5.55168        0.00865516
                 6          -5.56637          -5.55413        0.00755084
                 7          -5.53852           -5.5519        0.00679339
                 8          -5.54914          -5.55156        0.00595298
                 9          -5.56447          -5.55299         0.0054618
                10           -5.5272          -5.55041        0.00549072
                11          -5.56552          -5.55179        0.00516055
                12          -5.55512          -5.55206        0.00473798
                13          -5.52223          -5.54977        0.00489785
                14          -5.56042          -5.55053        0.00460671
                15          -5.53676          -5.54961        0.00439004
                16          -5.53333          -5.54859        0.00423196
                17          -5.58261          -5.55059        0.00443076
                18          -5.57024          -5.55169        0.00431691
                19          -5.57228          -5.55277        0.00422353
                20          -5.57018          -5.55364        0.00410107
                21          -5.54491          -5.55322        0.00392678
                22          -5.53756          -5.55251        0.00381227
                23          -5.56186          -5.55292        0.00366812
                24          -5.57829          -5.55398        0.00366446
                25          -5.56818          -5.55454        0.00356168
                26          -5.55984          -5.55475        0.00343052
                27          -5.53403          -5.55398        0.00338817
                28          -5.57168          -5.55461        0.00332559
                29          -5.56087          -5.55483         0.0032179
                30           -5.5606          -5.55502        0.00311638
                31          -5.55098          -5.55489        0.00301857
                32          -5.56446          -5.55519        0.00293901
                33          -5.57473          -5.55578          0.002909
                34          -5.52906            -5.555        0.00292766
                35          -5.51568          -5.55387        0.00305196
                36          -5.57163          -5.55437        0.00300676
                37          -5.54268          -5.55405        0.00294203
                38          -5.52944           -5.5534        0.00293502
                39          -5.55916          -5.55355        0.00286348
                40          -5.52848          -5.55292        0.00285966
                41          -5.52836          -5.55232          0.002852
                42          -5.51122          -5.55135        0.00294727
                43          -5.54157          -5.55112        0.00288747
                44          -5.57214           -5.5516         0.0028611
                45          -5.53657          -5.55126        0.00281693
                46          -5.52784          -5.55075        0.00280134
                47          -5.57592          -5.55129        0.00279243
                48           -5.5498          -5.55126        0.00273442
                49          -5.54925          -5.55122        0.00267893
                50          -5.57013          -5.55159        0.00265191
                51          -5.55273          -5.55162            0.0026
                52          -5.54101          -5.55141          0.002558
                53          -5.52819          -5.55097        0.00254699
                54          -5.53624           -5.5507        0.00251439
                55          -5.55164          -5.55072        0.00246873
                56          -5.57732          -5.55119        0.00246991
                57          -5.54813          -5.55114        0.00242716
                58          -5.55904          -5.55128        0.00238914
                59          -5.57891          -5.55174         0.0023941
                60          -5.50928          -5.55104         0.0024566
                61          -5.52481          -5.55061        0.00245367
                62            -5.559          -5.55074        0.00241782
                63          -5.56959          -5.55104        0.00239788
                64          -5.54587          -5.55096        0.00236178
                65          -5.55931          -5.55109        0.00232893
                66          -5.51245           -5.5505        0.00236607
                67          -5.54521          -5.55042        0.00233207
                68          -5.54833          -5.55039        0.00229798
                69          -5.57145           -5.5507        0.00228485
                70          -5.52093          -5.55027        0.00229144
                71          -5.54836          -5.55025        0.00225932
                72          -5.54977          -5.55024        0.00222795
                73          -5.56674          -5.55047        0.00220886
                74          -5.54772          -5.55043        0.00217933
                75          -5.55316          -5.55047        0.00215057
                76          -5.57703          -5.55082         0.0021505
                77          -5.57087          -5.55108        0.00213828
                78          -5.53221          -5.55083         0.0021245
                79          -5.57928          -5.55119         0.0021279
                80          -5.55925          -5.55129        0.00210368
                81          -5.52421          -5.55096        0.00210412
                82           -5.5254          -5.55065        0.00210141
                83          -5.56246          -5.55079        0.00208091
                84           -5.5448          -5.55072        0.00205736
                85          -5.56042          -5.55083        0.00203632
                86           -5.5504          -5.55083        0.00201265
                87          -5.52056          -5.55048        0.00201937
                88          -5.55791          -5.55056        0.00199819
                89          -5.56241           -5.5507        0.00198016
                90          -5.54809          -5.55067        0.00195837
                91          -5.56254           -5.5508        0.00194119
                92          -5.51159          -5.55037        0.00196632
                93          -5.55638          -5.55044        0.00194623
                94          -5.56459          -5.55059        0.00193134
                95          -5.53604          -5.55044        0.00191708
                96          -5.55556          -5.55049        0.00189785
                97          -5.55891          -5.55058        0.00188027
                98          -5.57121          -5.55079        0.00187283
                99          -5.56683          -5.55095        0.00186091
               100          -5.53441          -5.55078        0.00184964
