#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1          -4.07853          -4.07853                 0
                 2          -4.07699          -4.07776       0.000545302
                 3          -4.07612          -4.07721       0.000576136
                 4          -4.07626          -4.07697       0.000478682
                 5          -4.07722          -4.07702        0.00038543
                 6          -4.07587          -4.07683       0.000365489
                 7          -4.07524           -4.0766       0.000376985
                 8           -4.0762          -4.07655       0.000333299
                 9           -4.0778          -4.07669       0.000323811
                10          -4.07646          -4.07667        0.00029227
                11          -4.07706           -4.0767       0.000267902
                12          -4.07774          -4.07679       0.000259034
                13          -4.07627          -4.07675       0.000242126
                14          -4.07666          -4.07674       0.000224911
                15           -4.0763          -4.07671       0.000211881
                16          -4.07598          -4.07667       0.000203554
                17          -4.07871          -4.07679       0.000224337
                18          -4.07929          -4.07693       0.000251325
                19          -4.07725          -4.07694       0.000238668
                20          -4.07684          -4.07694       0.000226789
                21          -4.07581          -4.07689       0.000222285
                22          -4.07499           -4.0768       0.000228309
                23           -4.0775          -4.07683       0.000220416
                24          -4.07875          -4.07691       0.000225351
                25          -4.07816          -4.07696       0.000221835
                26           -4.0779            -4.077        0.00021621
                27          -4.07757          -4.07702       0.000209256
                28          -4.07668          -4.07701       0.000202129
                29          -4.07777          -4.07703       0.000196863
                30          -4.07732          -4.07704       0.000190539
                31          -4.07617          -4.07701       0.000186443
                32          -4.07682          -4.07701       0.000180712
                33          -4.07859          -4.07706       0.000181513
                34          -4.07446          -4.07698       0.000191527
                35          -4.07496          -4.07692        0.00019455
                36          -4.07864          -4.07697       0.000194886
                37          -4.07593          -4.07694       0.000191622
                38          -4.07438          -4.07687       0.000198071
                39          -4.07322          -4.07678       0.000214056
                40          -4.07725          -4.07679       0.000209023
                41          -4.07665          -4.07679       0.000203953
                42          -4.07652          -4.07678       0.000199194
                43          -4.07682          -4.07678       0.000194563
                44          -4.07688          -4.07678       0.000190153
                45          -4.07609          -4.07677       0.000186547
                46          -4.07802           -4.0768       0.000184473
                47          -4.07834          -4.07683       0.000183436
                48          -4.07688          -4.07683       0.000179617
                49          -4.07594          -4.07681       0.000176861
                50          -4.07662          -4.07681       0.000173364
                51          -4.07686          -4.07681       0.000169969
                52          -4.07716          -4.07682       0.000166832
                53          -4.07489          -4.07678       0.000167581
                54          -4.07784           -4.0768       0.000165626
                55          -4.07749          -4.07681       0.000163088
                56          -4.07787          -4.07683       0.000161258
                57          -4.07616          -4.07682       0.000158853
                58          -4.07777          -4.07684       0.000156962
                59          -4.08018          -4.07689        0.00016424
                60          -4.07511          -4.07686       0.000164183
                61          -4.07512          -4.07683       0.000163962
                62           -4.0738          -4.07679       0.000168485
                63          -4.07673          -4.07678       0.000165813
                64          -4.07876          -4.07682       0.000166078
                65           -4.0792          -4.07685       0.000167512
                66          -4.07534          -4.07683        0.00016653
                67           -4.0758          -4.07681       0.000164752
                68          -4.07523          -4.07679       0.000163961
                69           -4.0776           -4.0768       0.000162002
                70           -4.0769           -4.0768       0.000159693
                71          -4.07775          -4.07682          0.000158
                72          -4.07849          -4.07684       0.000157511
                73          -4.07644          -4.07683       0.000155449
                74          -4.07586          -4.07682       0.000153907
                75          -4.07619          -4.07681       0.000152087
                76          -4.07626          -4.07681       0.000150261
                77          -4.07588          -4.07679       0.000148791
                78          -4.07674          -4.07679       0.000146885
                79          -4.07741           -4.0768       0.000145232
                80           -4.0753          -4.07678       0.000144628
                81          -4.07702          -4.07678       0.000142871
                82          -4.07595          -4.07677       0.000141494
                83          -4.07884           -4.0768       0.000141964
                84           -4.0773          -4.07681         0.0001404
                85          -4.07885          -4.07683       0.000140797
                86           -4.0775          -4.07684       0.000139374
                87          -4.07641          -4.07683        0.00013786
                88          -4.07525          -4.07681       0.000137458
                89          -4.07523           -4.0768       0.000137063
                90          -4.07686           -4.0768       0.000135541
                91          -4.07611          -4.07679       0.000134259
                92          -4.07639          -4.07679       0.000132871
                93          -4.07892          -4.07681        0.00013341
                94          -4.07775          -4.07682        0.00013237
                95          -4.07658          -4.07682          0.000131
                96           -4.0755           -4.0768       0.000130351
                97           -4.0772          -4.07681       0.000129073
                98          -4.07877          -4.07683       0.000129299
                99          -4.07581          -4.07682       0.000128403
               100          -4.07741          -4.07682       0.000127257
