#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
                 1         -0.431437         -0.431437                 0
                 2           -0.4347         -0.433068        0.00115369
                 3         -0.426609         -0.430915        0.00191879
                 4         -0.404868         -0.424403        0.00582018
                 5         -0.400581         -0.419639        0.00631192
                 6         -0.413578         -0.418629        0.00534015
                 7         -0.370879         -0.411807        0.00779971
                 8         -0.435153         -0.414726        0.00735039
                 9         -0.415403         -0.414801        0.00653406
                10         -0.385798         -0.411901         0.0064925
                11         -0.389347          -0.40985         0.0062176
                12         -0.395955         -0.408692        0.00580629
                13         -0.427977         -0.410176        0.00554591
                14         -0.438032         -0.412165        0.00549513
                15          -0.37683          -0.40981        0.00561104
                16         -0.375919         -0.407692        0.00564602
                17         -0.443725         -0.409811         0.0056979
                18         -0.396344         -0.409063        0.00543025
                19         -0.448116         -0.411118        0.00551975
                20         -0.435061         -0.412316        0.00537201
                21         -0.370622          -0.41033         0.0054708
                22          -0.41937         -0.410741        0.00523754
                23         -0.406741         -0.410567        0.00501271
                24          -0.44037         -0.411809        0.00495527
                25         -0.440427         -0.412954        0.00488749
                26         -0.430545          -0.41363        0.00474611
                27         -0.438051         -0.414535        0.00465572
                28         -0.380116         -0.413305        0.00464889
                29         -0.438875         -0.414187        0.00457143
                30         -0.440537         -0.415065        0.00450264
                31         -0.424132         -0.415358        0.00436688
                32         -0.432763         -0.415902        0.00426415
                33         -0.435801         -0.416505        0.00417735
                34         -0.421812         -0.416661         0.0040574
                35         -0.419431          -0.41674        0.00394225
                36          -0.42184         -0.416882        0.00383529
                37         -0.432966         -0.417316        0.00375619
                38         -0.407297         -0.417053        0.00366658
                39         -0.415094         -0.417003        0.00357291
                40         -0.423321          -0.41716        0.00348708
                41         -0.426228         -0.417382        0.00340903
                42         -0.440531         -0.417933        0.00337213
                43         -0.397664         -0.417461        0.00332649
                44         -0.378122         -0.416567         0.0033689
                45         -0.381644         -0.415791        0.00338224
                46          -0.40144         -0.415479        0.00332307
                47         -0.440192         -0.416005         0.0032937
                48         -0.410653         -0.415894        0.00322697
                49         -0.443898         -0.416465        0.00321133
                50         -0.390471         -0.415945         0.0031889
                51         -0.439708         -0.416411        0.00316023
                52         -0.381029         -0.415731        0.00317186
                53         -0.409968         -0.415622        0.00311388
                54         -0.406873          -0.41546        0.00306043
                55         -0.419706         -0.415537        0.00300576
                56         -0.399764         -0.415256        0.00296525
                57         -0.440083         -0.415691        0.00294504
                58          -0.44257         -0.416155         0.0029305
                59         -0.458278         -0.416869        0.00296653
                60         -0.399491         -0.416579        0.00293119
                61          -0.41683         -0.416583        0.00288314
                62         -0.434521         -0.416872        0.00285112
                63         -0.413868         -0.416825        0.00280626
                64         -0.441669         -0.417213        0.00278913
                65         -0.384411         -0.416708        0.00279151
                66         -0.403261         -0.416504        0.00275664
                67         -0.350383         -0.415518        0.00288675
                68          -0.42137         -0.415604        0.00284558
                69          -0.42526         -0.415744        0.00280778
                70          -0.39331         -0.415423         0.0027859
                71         -0.451654         -0.415933          0.002793
                72         -0.395283         -0.415647         0.0027689
                73         -0.390157         -0.415297        0.00275289
                74         -0.415437         -0.415299        0.00271569
                75         -0.440579         -0.415636        0.00270032
                76         -0.407359         -0.415527        0.00266699
                77          -0.40272         -0.415361        0.00263753
                78         -0.416478         -0.415375        0.00260376
                79         -0.443689         -0.415734        0.00259535
                80         -0.421828          -0.41581        0.00256402
                81         -0.336048         -0.414825        0.00271488
                82         -0.433356         -0.415051        0.00269116
                83         -0.440702          -0.41536        0.00267642
                84         -0.420102         -0.415417        0.00264516
                85         -0.442456         -0.415735        0.00263309
                86         -0.434934         -0.415958        0.00261192
                87         -0.400892         -0.415785        0.00258764
                88         -0.416839         -0.415797        0.00255826
                89         -0.424975           -0.4159        0.00253159
                90         -0.438531         -0.416151        0.00251592
                91         -0.377322         -0.415725         0.0025242
                92         -0.412134         -0.415686        0.00249706
                93          -0.43217         -0.415863         0.0024765
                94         -0.394901          -0.41564        0.00246017
                95          -0.39641         -0.415438        0.00244259
                96         -0.410095         -0.415382        0.00241778
                97         -0.411423         -0.415341         0.0023932
                98          -0.41931         -0.415382        0.00236912
                99         -0.408783         -0.415315        0.00234612
               100         -0.397318         -0.415135        0.00232956
               101         -0.397519         -0.414961        0.00231301
               102         -0.436874         -0.415175        0.00230029
               103         -0.434002         -0.415358        0.00228521
               104         -0.399461         -0.415205        0.00226834
               105         -0.346854         -0.414554        0.00233828
               106         -0.385005         -0.414276        0.00233278
               107         -0.388224         -0.414032        0.00232365
               108         -0.422101         -0.414107        0.00230333
               109         -0.389012         -0.413877        0.00229368
               110         -0.410805         -0.413849          0.002273
               111         -0.429165         -0.413987        0.00225671
               112         -0.414639         -0.413992        0.00223656
               113         -0.414169         -0.413994        0.00221677
               114         -0.440493         -0.414226        0.00220948
               115         -0.448335         -0.414523        0.00221008
               116         -0.406197         -0.414451         0.0021922
               117         -0.438776         -0.414659         0.0021833
               118         -0.423384         -0.414733        0.00216605
               119         -0.442166         -0.414964        0.00216008
               120         -0.427146         -0.415065        0.00214446
               121         -0.408234         -0.415009        0.00212748
               122         -0.418462         -0.415037        0.00211023
               123         -0.429643         -0.415156        0.00209641
               124          -0.44762         -0.415418        0.00209579
               125         -0.405909         -0.415342         0.0020804
               126         -0.389277         -0.415135        0.00207415
               127         -0.425989          -0.41522        0.00205958
               128         -0.432868         -0.415358         0.0020481
               129         -0.375407         -0.415048         0.0020555
               130           -0.4395         -0.415236        0.00204828
               131         -0.417759         -0.415256        0.00203273
               132         -0.415873          -0.41526        0.00201734
               133         -0.426414         -0.415344        0.00200391
               134         -0.402045         -0.415245        0.00199142
               135         -0.431316         -0.415364        0.00198022
               136          -0.42385         -0.415426        0.00196664
               137         -0.428027         -0.415518        0.00195444
               138         -0.410248          -0.41548        0.00194065
               139           -0.3977         -0.415352         0.0019309
               140         -0.411683         -0.415326        0.00191728
               141         -0.419107         -0.415353        0.00190387
               142         -0.420185         -0.415387        0.00189077
               143         -0.398063         -0.415266        0.00188142
               144         -0.392627         -0.415109        0.00187492
               145         -0.428878         -0.415203        0.00186439
               146          -0.40857         -0.415158        0.00185217
               147         -0.394257         -0.415016        0.00184502
               148         -0.396245         -0.414889        0.00183691
               149         -0.408017         -0.414843        0.00182516
               150         -0.391186         -0.414685        0.00181979
               151         -0.387989         -0.414508        0.00181631
               152         -0.374539         -0.414245         0.0018233
               153         -0.445218         -0.414448        0.00182258
               154         -0.393077         -0.414309        0.00181602
               155         -0.437389         -0.414458         0.0018104
               156         -0.332657         -0.413934        0.00187319
               157         -0.408377         -0.413898         0.0018616
               158         -0.447256         -0.414109        0.00186175
               159         -0.426787         -0.414189        0.00185175
               160         -0.355232         -0.413821        0.00187648
               161         -0.381848         -0.413622         0.0018753
               162         -0.448226         -0.413836        0.00187585
               163         -0.372982         -0.413585        0.00188101
               164         -0.463721         -0.413891        0.00189422
               165         -0.404891         -0.413836        0.00188353
               166         -0.427741          -0.41392        0.00187404
               167         -0.397272          -0.41382        0.00186547
               168         -0.440196         -0.413977        0.00186096
               169         -0.428851         -0.414065        0.00185203
               170         -0.428172         -0.414148        0.00184299
               171         -0.423247         -0.414201        0.00183298
               172          -0.42218         -0.414248        0.00182291
               173          -0.41232         -0.414237        0.00181241
               174         -0.399722         -0.414153        0.00180391
               175          -0.43067         -0.414248        0.00179607
               176         -0.443888         -0.414416        0.00179375
               177         -0.439762         -0.414559        0.00178932
               178         -0.414629          -0.41456        0.00177927
               179         -0.439075         -0.414697        0.00177459
               180         -0.425968         -0.414759        0.00176583
               181         -0.420818         -0.414793         0.0017564
               182         -0.365781         -0.414523        0.00176727
               183         -0.423307         -0.414571        0.00175826
               184         -0.398607         -0.414485        0.00175085
               185         -0.431018         -0.414574        0.00174366
               186         -0.425889         -0.414635        0.00173535
               187         -0.398653         -0.414549        0.00172817
               188         -0.414169         -0.414547        0.00171898
               189         -0.432327         -0.414641        0.00171246
               190         -0.428526         -0.414715          0.001705
               191         -0.440691         -0.414851        0.00170149
               192         -0.390507         -0.414724        0.00169735
               193         -0.431546         -0.414811        0.00169079
               194         -0.399637         -0.414733        0.00168388
               195          -0.41419          -0.41473        0.00167525
               196         -0.445443         -0.414887        0.00167402
               197         -0.431503         -0.414971        0.00166764
               198         -0.442553          -0.41511        0.00166503
               199         -0.427575         -0.415173        0.00165784
               200         -0.435513         -0.415275        0.00165267
