#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
                 1         0.0114323         0.0114323                 0
                 2         0.0493743         0.0304033         0.0134145
                 3         0.0160143          0.025607        0.00976288
                 4        -0.0118861         0.0162337         0.0109319
                 5       -0.00462752         0.0120615        0.00950846
                 6         0.0216407          0.013658        0.00805664
                 7         0.0359323           0.01684        0.00750783
                 8       -0.00070257         0.0146472        0.00688214
                 9         0.0328061         0.0166649        0.00640639
                10         0.0425966          0.019258        0.00626865
                11        -0.0103939         0.0165624        0.00625155
                12         0.0406405         0.0185689        0.00604402
                13         0.0130856         0.0181471         0.0055938
                14          0.010049         0.0175687        0.00522406
                15         0.0410006         0.0191308        0.00510401
                16       -0.00715406          0.017488        0.00504246
                17       -0.00403776         0.0162218        0.00490225
                18       -0.00814924         0.0148678        0.00481325
                19         0.0130114         0.0147701        0.00456091
                20         0.0323482          0.015649        0.00441674
                21        0.00351655         0.0150713        0.00424403
                22        -0.0138964         0.0137546        0.00425047
                23         0.0387261         0.0148403        0.00420205
                24        -0.0227905         0.0132724        0.00430958
                25         0.0131748         0.0132685        0.00413719
                26        0.00384598         0.0129061        0.00399391
                27         0.0234774         0.0132976        0.00386513
                28        0.00958822         0.0131651        0.00372936
                29          0.012056         0.0131269        0.00360096
                30        -0.0069495         0.0124576        0.00354257
                31          0.031644         0.0130766        0.00348194
                32        0.00790497          0.012915        0.00337687
                33          0.016791         0.0130324        0.00327659
                34         0.0128671         0.0130275        0.00318022
                35         0.0395655         0.0137858        0.00317846
                36        -0.0226801         0.0127728        0.00324757
                37         0.0255887         0.0131192        0.00317821
                38         0.0143599         0.0131519        0.00309474
                39         0.0209875         0.0133528        0.00302191
                40         0.0285139         0.0137318        0.00297003
                41        -0.0296619         0.0126734        0.00308041
                42        0.00761002         0.0125529        0.00300942
                43         0.0139845         0.0125861        0.00293962
                44        0.00814944         0.0124853        0.00287454
                45         0.0551448         0.0134333        0.00296286
                46         0.0133716          0.013432        0.00289845
                47         0.0183516         0.0135366        0.00283867
                48         0.0181179         0.0136321        0.00278113
                49        0.00714509         0.0134997        0.00272752
                50          0.030468         0.0138391          0.002694
                51        -0.0310547         0.0129588        0.00278128
                52         0.0340631         0.0133646        0.00275724
                53       -0.00852369         0.0129517        0.00273598
                54        -0.0130304         0.0124705        0.00272729
                55         0.0438692         0.0130414         0.0027368
                56        -0.0131185         0.0125742         0.0027275
                57         0.0119938         0.0125641        0.00267967
                58        0.00915198         0.0125052        0.00263412
                59      -0.000790023         0.0122799        0.00259909
                60         0.0117066         0.0122703        0.00255579
                61         0.0165779          0.012341        0.00251487
                62       -0.00152935         0.0121172        0.00248424
                63        0.00578244         0.0120167        0.00244684
                64       -0.00730214         0.0117148        0.00242715
                65         0.0225463         0.0118815        0.00239553
                66         0.0126152         0.0118926        0.00235926
                67         0.0141276         0.0119259        0.00232428
                68       -0.00624727         0.0116587        0.00230541
                69        0.00114485         0.0115063        0.00227703
                70         0.0191452         0.0116154        0.00224712
                71         0.0203611         0.0117386        0.00221884
                72        0.00300678         0.0116173        0.00219133
                73        -0.0241893         0.0111268        0.00221553
                74       -0.00471582         0.0109128        0.00219591
                75         0.0448482         0.0113652        0.00221276
                76        0.00107697         0.0112299        0.00218778
                77        0.00273913         0.0111196        0.00216215
                78         0.0240467         0.0112853        0.00214077
                79        -0.0274736         0.0107947        0.00216916
                80        0.00964907         0.0107804        0.00214209
                81         0.0320803         0.0110433        0.00213173
                82            0.0301         0.0112757        0.00211836
                83        -0.0257227           0.01083        0.00213923
                84       -0.00579264         0.0106321        0.00212289
                85       -0.00320166         0.0104693        0.00210415
                86        -0.0150112          0.010173        0.00210043
                87      -0.000433949         0.0100511        0.00207983
                88         0.0399229         0.0103906        0.00208371
                89        -0.0112286         0.0101477        0.00207441
                90         0.0216193         0.0102751        0.00205527
                91         0.0144757         0.0103213         0.0020332
                92       -0.00804403         0.0101217        0.00202088
                93          0.033511         0.0103732        0.00201474
                94       -0.00570492         0.0102021        0.00200055
                95         0.0505907         0.0106273        0.00202416
                96         0.0139387         0.0106618        0.00200337
                97         -0.017522         0.0103712        0.00200368
                98        0.00274238         0.0102934        0.00198475
                99       -0.00162285          0.010173        0.00196834
               100          0.003049         0.0101018        0.00194995
               101         0.0248023         0.0102473        0.00193607
               102         0.0495375         0.0106325        0.00195503
               103         0.0118891         0.0106447        0.00193609
               104         0.0418824         0.0109451        0.00194063
               105       -0.00105482         0.0108308        0.00192551
               106          0.001692         0.0107446        0.00190927
               107         0.0381188         0.0110004        0.00190849
               108         0.0154982          0.011042        0.00189128
               109         0.0115585         0.0110468        0.00187393
               110       -0.00232274         0.0109252        0.00186083
               111         0.0371665         0.0111617        0.00185903
               112         0.0308318         0.0113373         0.0018507
               113       -0.00775087         0.0111684        0.00184202
               114         0.0358329         0.0113847        0.00183852
               115         0.0245143         0.0114989        0.00182608
               116         0.0323088         0.0116783        0.00181913
               117        -0.0183091          0.011422        0.00182154
               118       -0.00438032         0.0112881        0.00181102
               119          0.040057         0.0115298        0.00181187
               120         0.0193651         0.0115951        0.00179795
               121          0.033844          0.011779        0.00179247
               122         0.0188337         0.0118368        0.00177871
               123         0.0164381         0.0118742        0.00176464
               124          0.024264         0.0119741        0.00175323
               125         0.0272147         0.0120961        0.00174344
               126        -0.0268401          0.011787        0.00175678
               127        0.00106951         0.0117027        0.00174497
               128         0.0119478         0.0117046        0.00173134
               129         0.0238673         0.0117989        0.00172048
               130         0.0173372         0.0118415        0.00170778
               131           0.01148         0.0118387        0.00169474
               132         0.0230218         0.0119234        0.00168402
               133        0.00679732         0.0118849         0.0016718
               134         0.0336535         0.0120473         0.0016672
               135        -0.0206519         0.0118051        0.00167235
               136        -0.0293311         0.0115026        0.00168718
               137        -0.0255209         0.0112324        0.00169637
               138          0.040524         0.0114446        0.00169731
               139        0.00740514         0.0114156        0.00168535
               140       0.000940524         0.0113408        0.00167497
               141           0.02852         0.0114626        0.00166751
               142         0.0136066         0.0114777        0.00165584
               143        -0.0110754           0.01132        0.00165175
               144         0.0388985         0.0115115        0.00165135
               145       0.000551373         0.0114359        0.00164169
               146       -0.00387948          0.011331        0.00163379
               147         0.0454791         0.0115633        0.00163911
               148        0.00716832         0.0115336         0.0016283
               149        -0.0158787         0.0113496        0.00162774
               150        0.00785638         0.0113264        0.00161705
               151        -0.0161122         0.0111446        0.00161652
               152         0.0485304         0.0113906        0.00162449
               153         0.0497487         0.0116413         0.0016331
               154         0.0417293         0.0118367        0.00163414
               155         0.0088707         0.0118176        0.00162371
               156          0.012406         0.0118213        0.00161331
               157       -0.00344353         0.0117241        0.00160596
               158         -0.022133         0.0115098        0.00161003
               159        -0.0321674         0.0112351        0.00162317
               160         0.0485332         0.0114682        0.00162968
               161       -0.00641535         0.0113571        0.00162334
               162       -0.00969116         0.0112272        0.00161851
               163         0.0151505         0.0112513        0.00160876
               164       -0.00707654         0.0111395        0.00160282
               165        0.00759692         0.0111181        0.00159325
               166       -0.00218501         0.0110379        0.00158567
               167        -0.0119734         0.0109001        0.00158215
               168        -0.0038111         0.0108126        0.00157515
               169         0.0328678         0.0109431        0.00157123
               170         0.0158492         0.0109719        0.00156225
               171        -0.0163097         0.0108124        0.00156124
               172         0.0117127         0.0108176        0.00155217
               173       -0.00455508         0.0107288        0.00154574
               174         0.0103377         0.0107265        0.00153686
               175        0.00160491         0.0106744        0.00152896
               176         0.0227033         0.0107427         0.0015218
               177         0.0195387         0.0107924        0.00151402
               178       -0.00362055         0.0107115        0.00150767
               179      -0.000673656         0.0106479        0.00150059
               180         0.0102117         0.0106454        0.00149226
               181         0.0237909         0.0107181        0.00148578
               182        -0.0204493         0.0105468        0.00148745
               183         0.0321417         0.0106648          0.001484
               184        -0.0138621         0.0105315        0.00148191
               185          0.012004         0.0105395        0.00147392
               186         0.0168725         0.0105735        0.00146639
               187         0.0256749         0.0106543        0.00146077
               188        0.00440683          0.010621        0.00145337
               189        -0.0208673         0.0104544         0.0014552
               190        0.00405871         0.0104208        0.00144793
               191        0.00875938         0.0104121        0.00144038
               192         0.0150264         0.0104361        0.00143308
               193         0.0118361         0.0104434        0.00142567
               194        0.00937834         0.0104379        0.00141833
               195       -0.00262187         0.0103709        0.00141264
               196         0.0206679         0.0104234        0.00140641
               197       -0.00855918         0.0103271        0.00140257
               198         0.0349741         0.0104516        0.00140099
               199        -0.0114729         0.0103414        0.00139828
               200        -0.0078622         0.0102504        0.00139425
               201         0.0430306         0.0104135        0.00139682
               202        0.00244693          0.010374        0.00139046
               203         0.0342139         0.0104915        0.00138856
               204        0.00524763         0.0104658        0.00138199
               205         0.0162236         0.0104938        0.00137553
               206         0.0223812         0.0105515        0.00137007
               207         0.0442416         0.0107143        0.00137308
               208        0.00440865          0.010684        0.00136681
               209       -0.00497887          0.010609        0.00136233
               210        0.00234461         0.0105697        0.00135641
               211          0.010434          0.010569        0.00134998
               212        0.00103076         0.0105241        0.00134436
               213         0.0257431         0.0105955        0.00133995
               214        -0.0205865         0.0104498        0.00134159
               215        -0.0147819         0.0103324        0.00134047
               216         0.0223228         0.0103879        0.00133541
               217         0.0158142          0.010413        0.00132949
               218         0.0211227         0.0104621         0.0013243
               219       -0.00720518         0.0103814        0.00132071
               220        -0.0254937         0.0102183        0.00132473
               221         0.0159901         0.0102445          0.001319
               222        -0.0223798         0.0100975        0.00132122
               223         0.0162434         0.0101251        0.00131558
               224       -0.00143366         0.0100735        0.00131072
               225         0.0181422         0.0101093        0.00130538
               226       -0.00410521         0.0100464        0.00130112
               227         0.0023919         0.0100127        0.00129583
               228         0.0160089          0.010039        0.00129041
               229        0.00671789         0.0100245        0.00128486
               230          0.025951         0.0100937        0.00128113
               231        -0.0115519              0.01        0.00127901
               232        0.00847117        0.00999345        0.00127351
               233       0.000874322        0.00995431        0.00126865
               234         0.0476725         0.0101155        0.00127343
               235          0.049129         0.0102815        0.00127878
               236        0.00654374         0.0102657        0.00127346
               237         0.0194528         0.0103044        0.00126868
               238        -0.0114419         0.0102131        0.00126664
               239      -0.000506588         0.0101682        0.00126213
               240          0.010673         0.0101703        0.00125687
               241         0.0103236          0.010171        0.00125166
               242       -0.00436384         0.0101109        0.00124793
               243        0.00414944         0.0100864        0.00124303
               244        0.00711347         0.0100742          0.001238
               245        -0.0152396        0.00997086        0.00123725
               246        0.00358379         0.0099449        0.00123249
               247       -0.00389599        0.00988886        0.00122877
               248        -0.0060702        0.00982451         0.0012255
               249        0.00856349        0.00981945        0.00122059
               250         0.0387524        0.00993518        0.00122118
               251           0.03035         0.0100165        0.00121902
               252        0.00960744         0.0100149        0.00121419
               253         0.0236956          0.010069        0.00121059
               254        0.00633671         0.0100543        0.00120592
               255        0.00432363         0.0100318         0.0012014
               256       -0.00443381        0.00997529        0.00119803
               257         0.0182827         0.0100076        0.00119381
               258         0.0246146         0.0100642        0.00119052
               259        0.00937923         0.0100616        0.00118593
               260      -0.000115617         0.0100224        0.00118201
               261        -0.0125121         0.0099361        0.00118063
               262        -0.0084187        0.00986605         0.0011782
               263          0.023035        0.00991612        0.00117479
               264        0.00683373        0.00990444        0.00117039
               265      -0.000252608        0.00986611         0.0011666
               266       0.000904747        0.00983242         0.0011627
               267         0.0166939        0.00985812        0.00115863
               268          0.022157        0.00990401        0.00115522
               269        0.00821858        0.00989775        0.00115094
               270         0.0276778         0.0099636        0.00114856
               271         0.0438551         0.0100887        0.00115111
               272         0.0198737         0.0101246        0.00114744
               273        0.00948745         0.0101223        0.00114324
               274        -0.0298962        0.00997625        0.00114836
               275         0.0114542        0.00998162         0.0011442
               276         0.0412043         0.0100947        0.00114563
               277         0.0220972         0.0101381        0.00114231
               278        -0.0154133         0.0100462         0.0011419
               279        0.00129395         0.0100148        0.00113823
               280        0.00536724         0.0099982        0.00113429
               281        0.00582438        0.00998335        0.00113035
               282        0.00101221        0.00995153        0.00112679
               283        0.00573963        0.00993665        0.00112291
               284          0.039722         0.0100415        0.00112384
               285        -0.0186699        0.00994079         0.0011244
               286        -0.0311802        0.00979701        0.00112963
               287        0.00275114        0.00977246        0.00112596
               288         0.0314509        0.00984773        0.00112456
               289         0.0198382         0.0098823         0.0011212
               290        -0.0110133        0.00981024        0.00111965
               291         0.0231009        0.00985592        0.00111673
               292        0.00825434        0.00985043        0.00111292
               293       -0.00471263        0.00980073        0.00111023
               294         0.0118762        0.00980779        0.00110648
               295         0.0219761        0.00984904        0.00110349
               296         0.0168304        0.00987262        0.00110002
               297       -0.00267757        0.00983037        0.00109713
               298         0.0334367        0.00990958         0.0010963
               299         0.0290412        0.00997357         0.0010945
               300        0.00292759        0.00995008         0.0010911
               301         0.0183425        0.00997796        0.00108783
               302         0.0195669         0.0100097         0.0010847
               303         0.0371485         0.0100993        0.00108481
               304         0.0366161         0.0101865        0.00108474
               305         0.0289695         0.0102481        0.00108293
               306        -0.0268929         0.0101267        0.00108617
               307         0.0185201         0.0101541        0.00108298
               308        -0.0107532         0.0100862        0.00108159
               309         0.0180634          0.010112        0.00107839
               310         0.0459144         0.0102275        0.00108108
               311       -0.00423579          0.010181        0.00107861
               312          0.015131         0.0101968        0.00107527
               313         0.0017132         0.0101697        0.00107217
               314         0.0111287         0.0101728        0.00106876
               315       -0.00577505         0.0101222        0.00106657
               316         0.0131358         0.0101317        0.00106324
               317           0.00219         0.0101066        0.00106018
               318        -0.0122759         0.0100363        0.00105918
               319        0.00645757          0.010025        0.00105592
               320         0.0110621         0.0100283        0.00105262
               321       -0.00286571        0.00998812        0.00105011
               322       -0.00386366         0.0099451        0.00104773
               323         0.0376747         0.0100309        0.00104799
               324         0.0506079         0.0101562        0.00105222
               325       -0.00602978         0.0101064        0.00105016
               326        -0.0246457        0.00999978        0.00105233
               327        -0.0121439        0.00993206        0.00105129
               328        -0.0172645        0.00984915        0.00105135
               329        0.00528754        0.00983528        0.00104825
               330         0.0185088        0.00986157         0.0010454
               331         0.0220551         0.0098984        0.00104289
               332        -0.0419193        0.00974233        0.00105136
               333        -0.0105516        0.00968138        0.00104997
               334         0.0382922        0.00976704        0.00105032
               335        -0.0234208        0.00966798        0.00105184
               336       5.98119e-05        0.00963938         0.0010491
               337        -0.0160974        0.00956301        0.00104876
               338         0.0542756         0.0096953        0.00105397
               339        0.00549586        0.00968291        0.00105093
               340        0.00910694        0.00968121        0.00104784
               341         0.0249956        0.00972613        0.00104573
               342         0.0663863         0.0098918        0.00105572
               343         0.0468711        0.00999961        0.00105813
               344        0.00872182         0.0099959        0.00105506
               345        0.00618591        0.00998485        0.00105206
               346         0.0203106         0.0100147        0.00104944
               347        0.00796583         0.0100088        0.00104644
               348        -0.0609593        0.00980486        0.00106311
               349         0.0251802        0.00984891        0.00106098
               350        0.00919157        0.00984704        0.00105795
               351        -0.0049958        0.00980475        0.00105578
               352        0.00295552        0.00978529        0.00105296
               353         0.0412616        0.00987446        0.00105375
               354         0.0075099        0.00986778        0.00105079
               355         0.0128782        0.00987626        0.00104787
               356        -0.0133046        0.00981114        0.00104694
               357       0.000741062        0.00978574        0.00104432
               358          0.024471        0.00982676        0.00104221
               359        0.00415678        0.00981096        0.00103942
               360         0.0281019        0.00986177        0.00103778
               361        -0.0486331        0.00969974        0.00104748
               362        -0.0151637        0.00963105        0.00104683
               363        -0.0145528        0.00956443        0.00104607
               364        -0.0143989         0.0094986        0.00104526
               365      -0.000329802        0.00947167        0.00104274
               366          0.010961        0.00947574         0.0010399
               367         0.0147347        0.00949007        0.00103717
               368       -0.00396901         0.0094535          0.001035
               369         0.0337265        0.00951928        0.00103428
               370       -0.00726718        0.00947391        0.00103248
               371         -0.020568        0.00939293        0.00103287
               372         0.0201833        0.00942194         0.0010305
               373         0.0100239        0.00942355        0.00102773
               374       -0.00549494        0.00938366        0.00102576
               375        0.00598521         0.0093746        0.00102307
               376        -0.0179834        0.00930184        0.00102293
               377         0.0131621        0.00931208        0.00102027
               378        0.00818736         0.0093091        0.00101757
               379         0.0086047        0.00930725        0.00101489
               380         0.0439341        0.00939837         0.0010163
               381        -0.0141881        0.00933646        0.00101552
               382         0.0246206        0.00937647        0.00101365
               383         0.0321244        0.00943587        0.00101274
               384         0.0299413        0.00948927        0.00101151
               385         0.0236596        0.00952607        0.00100955
               386         0.0165337        0.00954423         0.0010071
               387       -0.00723913        0.00950086        0.00100543
               388       -0.00194739        0.00947135        0.00100327
               389        0.00695776        0.00946489        0.00100071
               390         0.0227611        0.00949898       0.000998726
               391         0.0118895         0.0095051       0.000996191
               392         0.0258935        0.00954691       0.000994526
               393         -0.006875        0.00950512       0.000992873
               394        0.00449384         0.0094924       0.000990434
               395       -0.00346259         0.0094596        0.00098847
               396        0.00775913        0.00945531       0.000985983
               397        -0.0196191        0.00938207       0.000986216
               398         0.0239531        0.00941868       0.000984417
               399         0.0193021        0.00944345       0.000982261
               400           0.02229        0.00947557       0.000980331
               401        0.00139162        0.00945541       0.000978093
               402         0.0196941        0.00948088       0.000975992
               403       -0.00103083         0.0094548       0.000973918
               404         0.0210965        0.00948361       0.000971934
               405        -0.0065683        0.00944398       0.000970342
               406         0.0039013        0.00943033       0.000968048
               407         0.0178501        0.00945101        0.00096589
               408         0.0256763        0.00949078       0.000964341
               409         0.0327267        0.00954759       0.000963655
               410       -0.00834275        0.00950396       0.000962293
               411         0.0247305        0.00954101       0.000960664
               412         0.0365195        0.00960649       0.000960561
               413         0.0111996        0.00961035       0.000958243
               414         0.0157462        0.00962517       0.000956043
               415         0.0235431         0.0096587       0.000954328
               416        0.00682396        0.00965189       0.000952058
               417         0.0198937        0.00967645       0.000950092
               418         0.0152133         0.0096897       0.000947911
               419         0.0131856        0.00969804       0.000945685
               420         0.0120671        0.00970368       0.000943451
               421         -0.019501        0.00963431       0.000943757
               422       -0.00156099        0.00960778       0.000941893
               423         0.0159846        0.00962286       0.000939787
               424          0.014319        0.00963393       0.000937636
               425         0.0278011        0.00967668       0.000936403
               426         0.0155498        0.00969047       0.000934307
               427         0.0224607        0.00972037       0.000932597
               428         0.0205642        0.00974571       0.000930762
               429        0.00184743         0.0097273       0.000928775
               430        -0.0337608        0.00962616       0.000932105
