#   N_BLOCK:  ACCEPTANCE:
                 1             0.741
                 2            0.7305
                 3             0.736
                 4            0.7415
                 5            0.7406
                 6             0.742
                 7          0.741571
                 8          0.741375
                 9          0.740444
                10            0.7398
                11          0.739364
                12            0.7395
                13             0.739
                14          0.741071
                15          0.740667
                16          0.741812
                17          0.742059
                18          0.742167
                19          0.743421
                20            0.7425
                21          0.742571
                22          0.743273
                23          0.743913
                24          0.744167
                25           0.74488
                26          0.744808
                27          0.744519
                28          0.745071
                29          0.745724
                30          0.745067
                31          0.744645
                32            0.7455
                33          0.744879
                34          0.744529
                35          0.744771
                36          0.744389
                37           0.74473
                38          0.745368
                39          0.745026
                40            0.7448
                41          0.745732
                42          0.745571
                43          0.746233
                44          0.745955
                45          0.746222
                46          0.746239
                47          0.746617
                48          0.746563
                49          0.746837
                50           0.74684
                51          0.746471
                52          0.746385
                53          0.746264
                54          0.746333
                55          0.746273
                56          0.746214
                57          0.746228
                58          0.746603
                59          0.746576
                60          0.746567
                61          0.746508
                62          0.746419
                63          0.746651
                64          0.746766
                65            0.7468
                66          0.746485
                67          0.746881
                68          0.747118
                69          0.747174
                70          0.747114
                71          0.747099
                72          0.747264
                73          0.747151
                74          0.747311
                75            0.7474
                76          0.747539
                77          0.747714
                78          0.747526
                79          0.747671
                80          0.747537
                81          0.747247
                82          0.746963
                83          0.746735
                84           0.74706
                85          0.747271
                86          0.747407
                87          0.747494
                88           0.74742
                89          0.747202
                90          0.747322
                91          0.747495
                92          0.747293
                93          0.747387
                94          0.747213
                95          0.747189
                96          0.747396
                97          0.747371
                98          0.747531
                99          0.747071
               100           0.74719
