#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
                 1         -0.366079         -0.366079                 0
                 2        -0.0485919         -0.207336          0.112249
                 3         -0.131682         -0.182118         0.0776136
                 4         -0.336373         -0.220682         0.0671104
                 5         -0.302939         -0.237133         0.0556683
                 6         -0.259341         -0.240834         0.0465131
                 7         -0.186467         -0.233068         0.0405116
                 8         -0.325068         -0.244568          0.037044
                 9        -0.0519615         -0.223167         0.0386181
                10           -0.2458          -0.22543         0.0348225
                11         -0.275885         -0.230017         0.0319575
                12         -0.282086         -0.234356         0.0295875
                13         -0.337701         -0.242306         0.0283594
                14         -0.122752         -0.233766         0.0275895
                15        -0.0652382         -0.222531         0.0279443
                16          -0.24618         -0.224009         0.0262369
                17         -0.159254           -0.2202         0.0249685
                18         -0.255396         -0.222155         0.0236578
                19         -0.349938         -0.228881          0.023349
                20         -0.326232         -0.233748         0.0226833
                21          -0.30299         -0.237046         0.0218415
                22          -0.32963         -0.241254         0.0212502
                23        -0.0872086         -0.234556         0.0213557
                24         -0.319856          -0.23811         0.0207595
                25         -0.288676         -0.240133         0.0200274
                26         -0.317749         -0.243118         0.0194784
                27         -0.425706         -0.249881         0.0198963
                28        -0.0732876         -0.243574         0.0201605
                29         -0.259208         -0.244113         0.0194725
                30         -0.333977         -0.247108         0.0190525
                31         -0.351584         -0.250479         0.0187336
                32         -0.264092         -0.250904          0.018153
                33         -0.207947         -0.249602         0.0176495
                34         -0.273728         -0.250312         0.0171446
                35         -0.351846         -0.253213         0.0168984
                36         -0.346544         -0.255805         0.0166267
                37         -0.298696         -0.256965         0.0162177
                38         -0.305128         -0.258232         0.0158404
                39         -0.228194         -0.257462         0.0154529
                40         -0.295562         -0.258414         0.0150959
                41         -0.257258         -0.258386         0.0147278
                42         -0.247267         -0.258121         0.0143795
                43         -0.210111         -0.257005         0.0140884
                44         -0.352632         -0.259178         0.0139348
                45         -0.252994         -0.259041         0.0136258
                46         -0.268805         -0.259253         0.0133313
                47         -0.246085         -0.258973         0.0130506
                48         -0.329625         -0.260445         0.0128614
                49         -0.185453         -0.258914         0.0126897
                50         -0.369712          -0.26113         0.0126279
                51         -0.140434         -0.258764         0.0126001
                52         -0.336831         -0.260265         0.0124469
                53        0.00405672         -0.255278         0.0131733
                54         -0.373599         -0.257469         0.0131103
                55         -0.144117         -0.255408          0.013033
                56         -0.202319          -0.25446         0.0128347
                57         -0.354971         -0.256223           0.01273
                58         -0.449492         -0.259556         0.0129393
                59         -0.292624         -0.260116         0.0127322
                60         -0.297964         -0.260747         0.0125356
                61         -0.170238         -0.259263         0.0124176
                62          -0.12505         -0.257098         0.0124045
                63         -0.330726         -0.258267         0.0122626
                64         -0.233759         -0.257884         0.0120769
                65         -0.276034         -0.258163         0.0118944
                66       -0.00142214         -0.254273         0.0123339
                67         -0.253475         -0.254261         0.0121498
                68         -0.267712         -0.254459         0.0119727
                69         -0.318809         -0.255392         0.0118355
                70         -0.228673          -0.25501         0.0116726
                71          -0.37216          -0.25666         0.0116242
                72         -0.375852         -0.258316           0.01158
                73         -0.343863         -0.259487         0.0114805
                74         -0.216707         -0.258909         0.0113399
                75          0.082122         -0.254362          0.012066
                76         -0.360625          -0.25576          0.011988
                77         -0.180898         -0.254788         0.0118716
                78         -0.320129         -0.255626          0.011749
                79         -0.251272         -0.255571         0.0116004
                80         -0.242325         -0.255405         0.0114565
                81          0.642273         -0.244323         0.0157904
                82         -0.190482         -0.243666         0.0156115
                83         -0.265302         -0.243927         0.0154255
                84          -0.29713          -0.24456         0.0152549
                85         -0.241996          -0.24453         0.0150755
                86         -0.265848         -0.244778         0.0149022
                87         -0.358763         -0.246088         0.0147884
                88         -0.210711         -0.245686         0.0146258
                89         -0.282102         -0.246095         0.0144672
                90          -0.17278         -0.245281         0.0143294
                91         -0.237328         -0.245193         0.0141722
                92         -0.146838         -0.244124         0.0140584
                93          -0.29866         -0.244711         0.0139194
                94         -0.301527         -0.245315         0.0137845
                95          -0.18878          -0.24472         0.0136522
                96         -0.270327         -0.244987         0.0135126
                97         -0.204356         -0.244568         0.0133798
                98         -0.228598         -0.244405         0.0132443
                99         -0.230663         -0.244266         0.0131112
               100         -0.290605         -0.244729         0.0129883
