#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
                 1         -0.449212         -0.449212                 0
                 2         -0.448843         -0.449028       0.000130423
                 3         -0.450822         -0.449626       0.000495951
                 4         -0.441471         -0.447587        0.00180433
                 5          -0.43526         -0.445122        0.00263553
                 6          -0.43046         -0.442678        0.00313045
                 7         -0.431833         -0.441129        0.00304253
                 8         -0.457995         -0.443237        0.00331313
                 9         -0.448455         -0.443817        0.00299531
                10         -0.450168         -0.444452        0.00276228
                11         -0.433397         -0.443447        0.00268779
                12         -0.410213         -0.440677        0.00361959
                13         -0.443384         -0.440886        0.00334714
                14         -0.444343         -0.441133        0.00311716
                15         -0.445312         -0.441411        0.00292177
                16         -0.443062         -0.441514        0.00274098
                17         -0.416966          -0.44007        0.00293557
                18         -0.444072         -0.440293        0.00278089
                19         -0.453757         -0.441001        0.00272333
                20         -0.434064         -0.440654        0.00260916
                21         -0.444632         -0.440844        0.00249178
                22         -0.446757         -0.441113        0.00239297
                23         -0.420587          -0.44022        0.00244968
                24         -0.437114         -0.440091        0.00235103
                25         -0.451065          -0.44053         0.0022976
                26           -0.4381         -0.440436        0.00221113
                27         -0.441458         -0.440474        0.00212956
                28         -0.455031         -0.440994        0.00211602
                29         -0.440689         -0.440984        0.00204308
                30         -0.438834         -0.440912        0.00197623
                31         -0.439285         -0.440859        0.00191318
                32         -0.440997         -0.440864         0.0018534
                33         -0.444021         -0.440959         0.0017997
                34         -0.447441          -0.44115        0.00175684
                35         -0.443535         -0.441218        0.00170796
                36         -0.447514         -0.441393        0.00166945
                37         -0.442337         -0.441419        0.00162452
                38         -0.436676         -0.441294        0.00158656
                39         -0.443049         -0.441339        0.00154652
                40         -0.437547         -0.441244        0.00151076
                41         -0.438677         -0.441181        0.00147521
                42         -0.434302         -0.441018        0.00144915
                43          -0.43183         -0.440804        0.00143111
                44         -0.455204         -0.441131        0.00143552
                45         -0.426994         -0.440817        0.00143758
                46         -0.434289         -0.440675        0.00141332
                47         -0.433778         -0.440528        0.00139084
                48         -0.446524         -0.440653        0.00136747
                49         -0.426576         -0.440366        0.00136941
                50         -0.460359         -0.440766        0.00139918
                51         -0.434424         -0.440642        0.00137726
                52         -0.435986         -0.440552        0.00135368
                53         -0.441765         -0.440575        0.00132833
                54         -0.440764         -0.440578        0.00130374
                55         -0.427968         -0.440349        0.00130004
                56         -0.437203         -0.440293        0.00127803
                57         -0.453529         -0.440525        0.00127653
                58         -0.442104         -0.440552        0.00125482
                59          -0.43314         -0.440427        0.00123982
                60         -0.428966         -0.440236        0.00123378
                61         -0.431411         -0.440091        0.00122201
