#BEST_ROUTE_HISTORY
#X_COORDINATE    Y_COORDINATE
34


0.122649   0.169918
0.371496   0.836567
0.168325   0.572439
0.0527608   0.453507
0.479138   0.49426
0.931865   0.754052
0.67838   0.0982145
0.765764   0.970267
0.0646429   0.754654
0.705029   0.0860072
0.713423   0.111777
0.501858   0.024284
0.133804   0.0534795
0.813285   0.0179424
0.257893   0.239268
0.729649   0.331166
0.477115   0.571835
0.651955   0.213852
0.616809   0.580468
0.233157   0.193293
0.918855   0.939875
0.0839539   0.159259
0.279233   0.545858
0.0173017   0.583179
0.12096   0.680137
0.656019   0.905484
0.985475   0.399022
0.493226   0.756047
0.22611   0.99461
0.686006   0.369351
0.577269   0.840005
0.471797   0.584917
0.272751   0.251365
0.776048   0.0211376

0.122649   0.169918
0.12096   0.680137
0.133804   0.0534795
0.616809   0.580468
0.577269   0.840005
0.705029   0.0860072
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.479138   0.49426
0.0527608   0.453507
0.0646429   0.754654
0.22611   0.99461
0.765764   0.970267
0.776048   0.0211376
0.272751   0.251365
0.713423   0.111777
0.813285   0.0179424
0.67838   0.0982145
0.501858   0.024284
0.729649   0.331166
0.656019   0.905484
0.168325   0.572439
0.371496   0.836567
0.257893   0.239268
0.0839539   0.159259
0.686006   0.369351
0.471797   0.584917
0.279233   0.545858
0.477115   0.571835
0.0173017   0.583179
0.233157   0.193293
0.651955   0.213852

0.122649   0.169918
0.12096   0.680137
0.133804   0.0534795
0.616809   0.580468
0.729649   0.331166
0.705029   0.0860072
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.479138   0.49426
0.0527608   0.453507
0.0646429   0.754654
0.22611   0.99461
0.765764   0.970267
0.776048   0.0211376
0.272751   0.251365
0.713423   0.111777
0.813285   0.0179424
0.67838   0.0982145
0.501858   0.024284
0.577269   0.840005
0.656019   0.905484
0.168325   0.572439
0.371496   0.836567
0.257893   0.239268
0.0839539   0.159259
0.686006   0.369351
0.471797   0.584917
0.279233   0.545858
0.477115   0.571835
0.0173017   0.583179
0.233157   0.193293
0.651955   0.213852

0.122649   0.169918
0.776048   0.0211376
0.729649   0.331166
0.257893   0.239268
0.813285   0.0179424
0.686006   0.369351
0.616809   0.580468
0.272751   0.251365
0.0527608   0.453507
0.0646429   0.754654
0.479138   0.49426
0.279233   0.545858
0.168325   0.572439
0.0839539   0.159259
0.501858   0.024284
0.133804   0.0534795
0.705029   0.0860072
0.651955   0.213852
0.985475   0.399022
0.0173017   0.583179
0.471797   0.584917
0.931865   0.754052
0.493226   0.756047
0.918855   0.939875
0.713423   0.111777
0.67838   0.0982145
0.477115   0.571835
0.577269   0.840005
0.656019   0.905484
0.765764   0.970267
0.22611   0.99461
0.12096   0.680137
0.371496   0.836567
0.233157   0.193293

0.122649   0.169918
0.257893   0.239268
0.168325   0.572439
0.0173017   0.583179
0.577269   0.840005
0.931865   0.754052
0.776048   0.0211376
0.501858   0.024284
0.233157   0.193293
0.279233   0.545858
0.479138   0.49426
0.729649   0.331166
0.813285   0.0179424
0.686006   0.369351
0.616809   0.580468
0.272751   0.251365
0.0527608   0.453507
0.0646429   0.754654
0.0839539   0.159259
0.133804   0.0534795
0.705029   0.0860072
0.918855   0.939875
0.985475   0.399022
0.471797   0.584917
0.493226   0.756047
0.651955   0.213852
0.713423   0.111777
0.67838   0.0982145
0.477115   0.571835
0.656019   0.905484
0.765764   0.970267
0.22611   0.99461
0.12096   0.680137
0.371496   0.836567

0.122649   0.169918
0.257893   0.239268
0.168325   0.572439
0.0173017   0.583179
0.577269   0.840005
0.931865   0.754052
0.776048   0.0211376
0.501858   0.024284
0.233157   0.193293
0.279233   0.545858
0.479138   0.49426
0.729649   0.331166
0.477115   0.571835
0.651955   0.213852
0.813285   0.0179424
0.67838   0.0982145
0.471797   0.584917
0.12096   0.680137
0.686006   0.369351
0.985475   0.399022
0.713423   0.111777
0.0527608   0.453507
0.918855   0.939875
0.765764   0.970267
0.656019   0.905484
0.616809   0.580468
0.493226   0.756047
0.371496   0.836567
0.0646429   0.754654
0.22611   0.99461
0.705029   0.0860072
0.133804   0.0534795
0.272751   0.251365
0.0839539   0.159259

0.122649   0.169918
0.257893   0.239268
0.168325   0.572439
0.0173017   0.583179
0.577269   0.840005
0.931865   0.754052
0.776048   0.0211376
0.501858   0.024284
0.233157   0.193293
0.279233   0.545858
0.479138   0.49426
0.729649   0.331166
0.813285   0.0179424
0.686006   0.369351
0.616809   0.580468
0.272751   0.251365
0.0527608   0.453507
0.133804   0.0534795
0.12096   0.680137
0.985475   0.399022
0.713423   0.111777
0.651955   0.213852
0.918855   0.939875
0.765764   0.970267
0.656019   0.905484
0.493226   0.756047
0.371496   0.836567
0.22611   0.99461
0.471797   0.584917
0.477115   0.571835
0.0646429   0.754654
0.0839539   0.159259
0.705029   0.0860072
0.67838   0.0982145

0.122649   0.169918
0.133804   0.0534795
0.616809   0.580468
0.577269   0.840005
0.705029   0.0860072
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.22611   0.99461
0.168325   0.572439
0.651955   0.213852
0.501858   0.024284
0.713423   0.111777
0.813285   0.0179424
0.776048   0.0211376
0.0839539   0.159259
0.0527608   0.453507
0.0173017   0.583179
0.257893   0.239268
0.279233   0.545858
0.477115   0.571835
0.479138   0.49426
0.656019   0.905484
0.765764   0.970267
0.729649   0.331166
0.67838   0.0982145
0.272751   0.251365
0.233157   0.193293
0.12096   0.680137
0.0646429   0.754654
0.371496   0.836567
0.686006   0.369351
0.471797   0.584917

0.122649   0.169918
0.133804   0.0534795
0.616809   0.580468
0.577269   0.840005
0.686006   0.369351
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.22611   0.99461
0.168325   0.572439
0.651955   0.213852
0.501858   0.024284
0.713423   0.111777
0.813285   0.0179424
0.776048   0.0211376
0.0839539   0.159259
0.0527608   0.453507
0.0173017   0.583179
0.257893   0.239268
0.279233   0.545858
0.477115   0.571835
0.479138   0.49426
0.656019   0.905484
0.765764   0.970267
0.729649   0.331166
0.67838   0.0982145
0.272751   0.251365
0.233157   0.193293
0.12096   0.680137
0.0646429   0.754654
0.371496   0.836567
0.471797   0.584917
0.705029   0.0860072

0.122649   0.169918
0.257893   0.239268
0.133804   0.0534795
0.616809   0.580468
0.577269   0.840005
0.686006   0.369351
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.22611   0.99461
0.168325   0.572439
0.651955   0.213852
0.501858   0.024284
0.713423   0.111777
0.813285   0.0179424
0.776048   0.0211376
0.0839539   0.159259
0.0527608   0.453507
0.0173017   0.583179
0.279233   0.545858
0.477115   0.571835
0.479138   0.49426
0.656019   0.905484
0.765764   0.970267
0.729649   0.331166
0.67838   0.0982145
0.272751   0.251365
0.233157   0.193293
0.12096   0.680137
0.0646429   0.754654
0.371496   0.836567
0.471797   0.584917
0.705029   0.0860072

0.122649   0.169918
0.257893   0.239268
0.133804   0.0534795
0.616809   0.580468
0.577269   0.840005
0.686006   0.369351
0.985475   0.399022
0.918855   0.939875
0.931865   0.754052
0.493226   0.756047
0.22611   0.99461
0.168325   0.572439
0.651955   0.213852
0.501858   0.024284
0.713423   0.111777
0.813285   0.0179424
0.776048   0.0211376
0.705029   0.0860072
0.0839539   0.159259
0.0527608   0.453507
0.0173017   0.583179
0.279233   0.545858
0.477115   0.571835
0.479138   0.49426
0.656019   0.905484
0.765764   0.970267
0.729649   0.331166
0.67838   0.0982145
0.272751   0.251365
0.233157   0.193293
0.12096   0.680137
0.0646429   0.754654
0.371496   0.836567
0.471797   0.584917

0.122649   0.169918
0.133804   0.0534795
0.257893   0.239268
0.616809   0.580468
0.577269   0.840005
